Hospital Name,AT&T,FirstNet
MaineGeneral Medical Center,0,0
Northern Light Inland Hospital,0,0
Spring Harbor Hospital,2,0
York Hospital,5,0
Portsmouth Regional Hospital,7,0
Encompass Health Rehabilitation Hospital of Concord,3,0
Androscoggin Valley Hospital,0,0
Valley Regional Hospital,0,0
Upper Connecticut Valley Hospital,0,0
Concord Hospital,3,0
New Hampshire Hospital,4,0
Wentworth-Douglass Hospital,2,0
Parkland Medical Center,1,0
Exeter Hospital,15,0
Concord Hospital - Franklin,12,0
Hampstead Hospital,0,0
Dartmouth-Hitchcock Medical Center,2,0
Cheshire Medical Center,0,0
Concord Hospital - Laconia,10,0
Weeks Medical Center,0,0
Alice Peck Day Memorial Hospital,2,0
Catholic Medical Center,7,0
Littleton Regional Healthcare,2,0
Elliot Hospital,18,0
Manchester Veterans Affairs Medical Center,9,0
Southern New Hampshire Medical Center,7,0
St. Joseph Hospital NH,6,0
New London Hospital,0,0
Memorial Hospital NH,2,0
Monadnock Community Hospital,0,0
Speare Memorial Hospital,0,0
Northeast Rehabilitation Hospital,1,0
Frisbie Memorial Hospital,3,0
Huggins Hospital,3,0
Cottage Hospital,1,0
University of Vermont Medical Center,19,2
The University of Vermont Health Network Central Vermont Medical Center,6,0
Southwestern Vermont Medical Center,1,0
Brattleboro Memorial Hospital,4,0
Brattleboro Retreat,8,0
The University of Vermont Health Network Porter Medical Center,0,0
Copley Hospital,0,0
North Country Hospital and Health Center,0,0
Gifford Medical Center,0,0
Rutland Regional Medical Center,0,0
Northwestern Medical Center,1,0
Northeastern Vermont Regional Hospital,0,0
Springfield Hospital,1,0
Grace Cottage Hospital,3,0
White River Junction Veterans Affairs Medical Center,7,0
Mt. Ascutney Hospital and Health Center,0,0
Vermont Psychiatric Care Hospital,2,0
Salem Hospital MA,11,0
Encompass Health Rehabilitation Hospital of Western Massachusetts,0,0
MetroWest Medical Center,6,0
Good Samaritan Medical Center MA,10,0
UMass Memorial HealthAlliance-Clinton Hospital,7,0
Boston Medical Center,91,0
MelroseWakefield Healthcare,7,0
Cambridge Health Alliance,34,0
Beth Israel Deaconess Medical Center,113,0
Southcoast Hospitals Group,1,0
Beverly Hospital MA,10,0
Vibra Hospital of Southeastern Massachusetts,0,0
Spaulding Rehabilitation Hospital Cape Cod,10,0
Whittier Rehabilitation Hospital MA,7,0
PAM Health Specialty Hospital of Stoughton,6,0
Vibra Hospital of Western Massachusetts-Central Campus,0,0
Athol Hospital,0,0
Sturdy Memorial Hospital,2,0
Nashoba Valley Medical Center,1,0
"Bedford Veterans Affairs Medical Center, Edith Nourse Rogers Memorial Veterans Hospital",1,0
Brigham and Women's Hospital,92,0
Dr. Solomon Carter Fuller Mental Health Center,106,0
Pocasset Mental Health Center,0,0
Walden Behavioral Care,13,0
Carney Hospital,7,0
Boston Children's Hospital,102,0
Brigham and Women's Faulkner Hospital,7,0
Arbour Hospital,14,0
Hebrew Rehabilitation Center,11,0
Whittier Pavilion,5,0
Massachusetts Eye and Ear,172,0
Lowell General Hospital,12,0
Massachusetts General Hospital,185,0
Spaulding Rehabilitation Hospital,31,0
Westborough Behavioral Healthcare Hospital,7,0
Hospital for Behavioral Medicine,2,0
Southcoast Behavioral Health,2,0
New England Baptist Hospital,41,0
Tufts Medical Center,270,0
Veterans Affairs Boston Healthcare System,8,0
Shriners Hospitals for Children-Boston,218,0
Dana-Farber Cancer Institute,92,0
Bridgewater State Hospital,2,0
Encompass Health Rehabilitation Hospital of Braintree,3,0
Franciscan Children's,27,0
St. Elizabeth's Medical Center,34,0
Signature Healthcare Brockton Hospital,5,0
Veterans Affairs Boston Healthcare System Brockton Division,3,0
Bournewood Health Systems,13,0
Lahey Hospital & Medical Center,18,0
Arbour H. R. I. Hospital,83,0
Spaulding Hospital for Continuing Medical Care Cambridge,33,0
Mount Auburn Hospital,31,0
Pappas Rehabilitation Hospital for Children,0,0
Emerson Hospital,4,0
Dr. J. Corrigan Mental Health Center,0,0
Saint Anne's Hospital,4,0
Falmouth Hospital,1,0
Heywood Hospital,4,0
Baldpate Hospital,0,0
Fairview Hospital,3,0
Baystate Franklin Medical Center,2,0
UMass Memorial Medical Center,27,0
Holyoke Medical Center,6,0
Cape Cod Hospital,2,0
Lemuel Shattuck Hospital,8,0
Lawrence General Hospital,3,0
UMass Memorial-Marlborough Hospital,4,0
Holy Family Hospital,2,0
Milford Regional Medical Center,6,0
Beth Israel Deaconess Hospital-Milton,6,0
Nantucket Cottage Hospital,3,0
Beth Israel Deaconess Hospital-Needham,8,0
Pembroke Hospital,0,0
Anna Jaques Hospital,0,0
Newton-Wellesley Hospital,30,0
Cooley Dickinson Hospital,3,0
Veterans Affairs Central Western Massachusetts Healthcare System,0,0
Norwood Hospital,8,0
Martha's Vineyard Hospital,7,0
Baystate Wing Hospital,7,0
Berkshire Medical Center,6,0
Beth Israel Deaconess Hospital-Plymouth,1,0
New England Sinai Hospital and Rehabilitation Center,11,0
Arbour-Fuller Hospital,7,0
UMass Memorial Health - Harrington,3,0
South Shore Hospital MA,17,0
Mercy Medical Center MA,4,0
Shriners Hospitals for Children-Springfield,1,0
Baystate Medical Center,10,0
Austen Riggs Center,14,0
Morton Hospital and Medical Center,9,0
Taunton State Hospital,2,0
Tewksbury Hospital,2,0
McLean Hospital,7,0
Baystate Noble Hospital,4,0
Western Massachusetts Hospital,4,0
Winchester Hospital,3,0
Adcare Hospital of Worcester,18,0
Fairlawn Rehabilitation Hospital,2,0
Saint Vincent Hospital MA,19,0
Worcester Recovery Center and Hospital,8,0
Encompass Health Rehabilitation Hospital of New England,2,0
Whittier Rehabilitation Hospital,1,0
Valley Springs Behavioral Health Hospital,0,0
Rehabilitation Hospital of Rhode Island,4,0
Eleanor Slater Hospital,6,0
Emma Pendleton Bradley Hospital,2,0
Newport Hospital,9,0
St. Joseph Health Services of Rhode Island,2,0
Butler Hospital,2,0
Miriam Hospital,15,0
Women & Infants Hospital of Rhode Island,19,0
Rhode Island Hospital,30,0
Roger Williams Medical Center,13,0
Providence Veterans Affairs Medical Center,16,0
South County Hospital,6,0
Landmark Medical Center,2,0
Kent Hospital,8,0
Westerly Hospital,6,0
MidState Medical Center,29,0
Bridgeport Hospital,5,0
Hartford Hospital,20,0
Saint Francis Hospital CT,58,0
The Connecticut Hospice,0,0
Connecticut Valley Hospital,3,0
Veterans Affairs Connecticut Healthcare System,13,0
Stamford Health,10,0
St. Vincent's Medical Center,11,0
Mount Sinai Rehabilitation Hospital,6,0
The Hospital of Central Connecticut,3,0
Southwest Connecticut Mental Health System,5,0
Bristol Health,7,0
Danbury Hospital,10,0
Griffin Health,22,0
Greenwich Hospital,4,0
"UConn, John Dempsey Hospital",2,0
The Hospital at Hebrew Senior Care,3,0
Manchester Memorial Hospital,8,0
Albert J. Solnit Psychiatric Center - South Campus,0,0
Middlesex Health,7,0
Hospital for Special Care,5,0
Silver Hill Hospital,2,0
Yale New Haven Hospital,53,0
Connecticut Children's,27,0
Lawrence + Memorial Hospital,3,0
Norwalk Hospital,13,0
The William W. Backus Hospital,11,0
Day Kimball Hospital,2,0
Rockville General Hospital,5,0
Connecticut Veterans Home and Hospital,1,0
Sharon Hospital,1,0
Johnson Memorial Hospital CT,0,0
Charlotte Hungerford Hospital,8,0
Gaylord Specialty Healthcare,0,0
Masonicare Health Center,14,0
Saint Mary's Hospital,35,0
Waterbury Hospital,4,0
Connecticut Department of Correction's Hospital,0,0
Windham Hospital,8,0
Natchaug Hospital,5,0
Connecticut Mental Health Center,56,0
Bassett Medical Center,10,0
Adirondack Health,0,0
Olean General Hospital,5,0
Wynn Hospital,12,0
Mid-Hudson Forensic Psychiatric Center,0,0
New York-Presbyterian Hospital,229,0
Richmond University Medical Center,15,0
Veterans Affairs Hudson Valley Health Care System,3,0
Albany Medical Center,21,0
United Memorial Medical Center NY,9,0
St. Barnabas Hospital,44,0
Veterans Affairs New York Harbor Healthcare System,39,0
NYC Health + Hospitals / Henry J Carter Specialty Hospital and Medical Center,212,0
Montefiore St. Luke's Cornwall,6,0
St. John's Riverside Hospital,8,0
Garnet Health Medical Center,4,0
Four Winds Hospital,0,0
"Garnet Health Medical Center - Catskills, Callicoon Campus",0,0
St. Peter's Hospital,3,0
Capital District Psychiatric Center,20,0
Albany Stratton Veterans Affairs Medical Center,20,0
River Hospital,0,0
Brunswick Psych Center,16,0
South Oaks Hospital,16,0
St. Mary's Healthcare,2,0
Auburn Community Hospital,2,0
Veterans Affairs Western New York Healthcare System-Batavia Division,6,0
Ira Davenport Memorial Hospital,0,0
Bath Veterans Affairs Medical Center,1,0
Terence Cardinal Cooke Health Care Center,187,0
South Shore University Hospital,10,0
New York City Children's Center,20,0
St. Joseph Hospital NY,21,0
Greater Binghamton Health Center,1,0
"Our Lady of Lourdes Memorial Hospital, Inc.",5,0
Brookdale Hospital Medical Center,287,1
SUNY Downstate Health Sciences University,141,0
Burdett Birth Center,2,0
Kingsboro Psychiatric Center,94,0
Kirby Forensic Psychiatric Center,127,0
Brooklyn Hospital Center,141,0
NYC Health + Hospitals / South Brooklyn Health,58,0
Interfaith Medical Center,118,0
NYC Health + Hospitals / Kings County,137,0
New York Community Hospital,54,0
Maimonides Medical Center,61,0
NYC Health + Hospitals / Woodhull,95,2
Wyckoff Heights Medical Center,54,0
Sisters of Charity Hospital of Buffalo,4,0
KALEIDA Health,15,0
Buffalo Psychiatric Center,10,0
Erie County Medical Center,8,0
BryLin Hospitals,4,0
Mercy Hospital NY,11,0
Roswell Park Comprehensive Cancer Center,16,0
Veterans Affairs Western New York Healthcare System-Buffalo Division,1,0
F. F. Thompson Hospital,0,0
Canton-Potsdam Hospital,1,0
Putnam Hospital,4,0
Carthage Area Hospital,1,0
Arms Acres,4,0
Columbia Memorial Hospital NY,2,0
Clifton Springs Hospital and Clinic,1,0
Cobleskill Regional Hospital,0,0
Guthrie Corning Hospital,0,0
Guthrie Cortland Regional Medical Center,2,0
Cuba Memorial Hospital,0,0
Nicholas H. Noyes Memorial Hospital,2,0
O'Connor Hospital NY,3,0
"Brooks-TLC Hospital System, Inc.",1,0
The University of Vermont Health Network Elizabethtown Community Hospital,0,0
Ellenville Regional Hospital,0,0
Arnot Ogden Medical Center,0,0
Elmira Psychiatric Center,4,0
United Health Services Hospitals-Binghamton,5,0
St. John's Episcopal Hospital,26,0
New York-Presbyterian Queens,19,0
Flushing Hospital Medical Center,37,0
Geneva General Hospital,0,0
Glen Cove Hospital,5,0
Glens Falls Hospital,7,0
Long Island Jewish Medical Center,47,0
Nathan Littauer Hospital and Nursing Home,0,0
Gouverneur Hospital,1,0
Community Memorial Hospital NY,2,0
Nassau University Medical Center,24,0
Pilgrim Psychiatric Center,10,0
St. James Hospital,1,0
Huntington Hospital,15,0
Cayuga Medical Center at Ithaca,1,0
Jamaica Hospital Medical Center,88,0
NYC Health + Hospitals / Queens,80,0
UPMC Chautauqua,7,0
Four Winds Hospital NY,0,0
Kenmore Mercy Hospital,4,0
Health Alliance Hospital - Mary's Avenue Campus,3,0
Health Alliance Hospital - Broadway Campus,7,0
"Garnet Health Medical Center - Catskills, Harris Campus",0,0
Little Falls Hospital,0,0
Lewis County General Hospital,2,0
The University of Vermont Health Network - Alice Hyde Medical Center,1,0
North Shore University Hospital,26,0
Central New York Psychiatric Center,0,0
Margaretville Hospital,3,0
"Massena Hospital, Inc.",0,0
Orleans Community Health,0,0
Sagamore Children's Psychiatric Center,6,0
Schuyler Hospital,0,0
Northern Westchester Hospital,8,0
Montefiore Mount Vernon,47,0
Newark-Wayne Community Hospital,1,0
Montefiore New Rochelle,74,0
NYC Health + Hospitals / Bellevue,231,0
Mount Sinai Beth Israel,242,0
BronxCare Health System,93,0
Bronx Psychiatric Center,82,0
NYC Health + Hospitals / Jacobi,21,0
Manhattan Psychiatric Center-Ward's Island,127,0
Gracie Square Hospital,245,0
NYC Health + Hospitals / Harlem,200,0
Hospital for Special Surgery,207,0
Rockefeller University Hospital,273,0
NYU Langone Hospitals,228,0
Calvary Hospital,43,0
Lenox Hill Hospital,245,0
NYC Health + Hospitals / Lincoln,106,0
Cornerstone of Medical Arts Center Hospital,43,0
Memorial Sloan Kettering Cancer Center,259,0
NYC Health + Hospitals / Metropolitan,207,0
Montefiore Medical Center,44,0
The Mount Sinai Hospital,201,0
NYC Health + Hospitals / Elmhurst,102,0
New York Eye and Ear Infirmary of Mount Sinai,236,0
New York State Psychiatric Institute,466,0
Mount Sinai Morningside,352,0
James J. Peters Veterans Affairs Medical Center,99,0
Linda Occhipinti,3,0
Niagara Falls Memorial Medical Center,6,0
Northport Veterans Affairs Medical Center,4,0
UHS Chenango Memorial Hospital,4,0
Montefiore Nyack Hospital,10,0
Mount Sinai South Nassau,7,0
Claxton-Hepburn Medical Center,1,0
St. Lawrence Psychiatric Center,0,0
Oneida Healthcare,0,0
Aurelia Osborn Fox Memorial Hospital,1,0
Rockland Children's Psychiatric Center,1,0
Rockland Psychiatric Center,3,0
Phelps Memorial Hospital Center,9,0
Ossining Correctional Facilities Hospital,7,0
Oswego Hospital,14,0
Long Island Community Hospital,9,0
New York-Presbyterian/Hudson Valley Hospital,7,0
Soldiers and Sailors Memorial Hospital,2,0
Plainview Hospital,32,0
The University of Vermont Health Network-Champlain Valley Physicians Hospital,4,0
Mather Hospital,11,0
Bon Secours Community Hospital,1,0
St. Charles Hospital,2,0
Vassar Brothers Medical Center,7,0
Creedmoor Psychiatric Center,31,0
Northern Dutchess Hospital,2,0
Peconic Bay Medical Center,7,0
Highland Hospital NY,7,0
Unity Hospital,4,0
Rochester General Hospital,11,0
Rochester Psychiatric Center,5,0
Strong Memorial Hospital of the University of Rochester,13,0
Mercy Medical Center NY,33,0
Rome Health,8,0
St. Francis Hospital and Heart Center,1,0
Saratoga Hospital,3,0
Sunnyview Rehabilitation Hospital,4,0
Ellis Medicine,3,0
Conifer Park,3,0
St. Catherine of Siena Hospital,8,0
Bertrand Chaffee Hospital,0,0
Clifton-Fine Hospital,0,0
South Beach Psychiatric Center,7,0
Staten Island University Hospital,13,0
Good Samaritan Regional Medical Center NY,10,0
Stony Brook University Hospital,12,0
St. Joseph's Hospital Health Center,31,0
Upstate University Hospital,61,1
Crouse Health,49,0
Richard H. Hutchings Psychiatric Center,56,1
Syracuse Veterans Affairs Medical Center,48,0
Samaritan Hospital - Main Campus,1,0
Mohawk Valley Psychiatric Center,3,0
Blythedale Children's Hospital,18,0
Westchester Medical Center,4,0
UHS Delaware Valley Hospital,1,0
Wyoming County Community Hospital,0,0
St. Anthony Community Hospital,9,0
Samaritan Medical Center,1,0
Jones Memorial Hospital,3,0
Westfield Memorial Hospital,2,0
Helen Hayes Hospital,2,0
Good Samaritan Hospital Medical Center,11,0
Keller Army Community Hospital,2,0
Western New York Children's Psychiatric Center,0,0
Burke Rehabilitation Hospital,3,0
White Plains Hospital Center,31,0
Saint Joseph's Medical Center,28,0
Trinitas Regional Medical Center,26,0
Veterans Affairs New Jersey Health Care System,17,0
"Encompass Health Rehabilitation Hospital of Tinton Falls, a Joint Venture with Monmouth Medical Center",9,0
Kessler Marlton Rehabilitation,11,0
Kindred Hospital-New Jersey Morris County,1,0
Encompass Health Rehabilitation Hospital of Vineland,6,0
Select Specialty Hospital-Northeast New Jersey,37,0
Weisman Children's Rehabilitation Hospital,11,0
Specialty Hospital of Central Jersey,13,0
"AtlantiCare Regional Medical Center, Atlantic City Campus",48,2
CarePoint Health Bayonne Medical Center,29,0
Hackensack Meridian Health Carrier Clinic,2,0
Saint Clare's Denville Hospital,0,0
Inspira Medical Center-Vineland,8,0
Deborah Heart and Lung Center,5,0
Cooper University Health Care,19,0
Virtua Our Lady of Lourdes Hospital,8,0
Cape Regional Health System,6,0
Essex County Hospital Center,9,0
Johnson Rehabilitation Institute at Hackensack Meridian Health Ocean Medical Center,5,0
RWJBarnabas Health Behavioral Health Center,1,0
Select Specialty Hospital - Willingboro,1,0
Select Specialty Hospital - Atlantic City,48,2
CareWell Health Medical Center,41,0
Hackensack Meridian Health JFK Medical Center,14,0
Kessler Institute for Rehabilitation,7,0
Inspira Medical Center-Elmer,0,0
Englewood Health,7,0
Hunterdon Healthcare,8,0
CentraState Healthcare System,0,0
Hackensack Meridian Health Hackensack University Medical Center,45,0
Greystone Park Psychiatric Hospital,6,0
Hackettstown Medical Center,2,0
Ancora Psychiatric Hospital,1,0
CarePoint Health Hoboken University Medical Center,168,0
Hackensack Meridian Health Bayshore Community Hospital,8,0
CarePoint Health Christ Hospital,88,0
Hackensack Meridian Health Palisades Medical Center,36,0
Jersey City Medical Center,65,0
Silver Lake Hospital LTACH,18,0
Cornerstone Behavioral Health Hospital of Union County,34,0
Northbrook Behavioral Health Hospital,3,0
Hudson County Meadowview Psychiatric Hospital,13,0
CareOne at Hacksensack University Medical Center at Pascack Valley,13,0
Atlantic Rehabilitation Institute,11,0
"Monmouth Medical Center, Southern Campus",13,0
St. Lawrence Rehabilitation Center,18,0
Virtua Willingboro Hospital,2,0
"Monmouth Medical Center, Long Branch Campus",12,0
Hackensack Meridian Health Southern Ocean Medical Center,6,0
Virtua Marlton,11,0
Hackensack Meridian Mountainside Medical Center,14,0
Morristown Medical Center,38,0
Virtua Mount Holly Hospital,3,0
Hackensack Meridian Health Jersey Shore University Medical Center,5,0
Clara Maass Medical Center,15,0
University Hospital NJ,31,2
Cooperman Barnabas Medical Center,9,0
Newark Beth Israel Medical Center,14,0
Saint Michael's Medical Center,52,0
JFK Johnson Rehabilitation Institute at Hackensack Meridian Health,14,0
Robert Wood Johnson University Hospital,53,0
Saint Peter's Healthcare System,30,0
Newton Medical Center,1,0
St. Mary's General Hospital,11,0
St. Joseph's University Medical Center,32,0
Matheny Medical and Educational Center,3,0
Hackensack Meridian Health Raritan Bay Medical Center,3,0
St. Luke's Hospital - Warren Campus,3,0
Rutgers University Behavioral Healthcare,12,0
Hackensack Meridian Health Ocean University Medical Center,5,0
Chilton Medical Center,3,0
Penn Medicine Princeton Medical Center,19,0
Robert Wood Johnson University Hospital Rahway,6,0
Hackensack Meridian Health Riverview Medical Center,8,0
Bergen New Bridge Medical Center,16,0
Valley Hospital,4,0
Hampton Behavioral Health Center,15,0
Inspira Medical Center Mannington,2,0
Hudson Regional Hospital,14,0
Shore Medical Center,5,0
Robert Wood Johnson University Hospital Somerset,15,0
Jefferson Stratford Hospital,12,0
Summit Oaks Hospital,9,0
Overlook Medical Center,15,0
Encompass Health Rehabilitation Hospital of Toms River,14,0
Holy Name Medical Center,56,0
Community Medical Center NJ,8,0
Capital Health Medical Center-Hopewell,6,0
Trenton Psychiatric Hospital,4,0
Robert Wood Johnson University Hospital at Hamilton,2,0
Capital Health Regional Medical Center,12,0
Virtua Voorhees,11,0
Children's Specialized Hospital,43,0
Hackensack Meridian Health Pascack Valley Medical Center,13,0
Christian Health,3,0
CareOne at Trinitas Regional Medical Center,26,0
Jefferson Abington Health,14,0
Lehigh Valley Hospital-Cedar Crest,18,0
"Behavioral Wellness Center at Girard, The",27,0
Clarion Psychiatric Center,2,0
WellSpan Good Samaritan Hospital,7,0
Pennsylvania Hospital,127,0
UPMC Northwest,3,0
UPMC Horizon,2,0
Wilkes-Barre General Hospital,14,0
KidsPeace Children's Hospital,1,0
UPMC Presbyterian,106,0
UPMC Harrisburg,52,0
Allegheny General Hospital,28,0
Thomas Jefferson University Hospital,246,0
PAM Health Specialty Hospital of Pittsburgh,2,0
Kindred Hospital Philadelphia,15,0
Veterans Affairs Pittsburgh Healthcare System,89,0
St. Luke's University Hospital - Bethlehem Campus,11,0
Penn State Health St. Joseph,0,0
Conemaugh Memorial Medical Center,5,0
Jefferson Health Northeast,5,0
Geisinger Encompass Health Rehabilitation Hospital,4,0
Good Shepherd Specialty Hospital,12,0
PAM Health Specialty Hospital of Heritage Valley,3,0
Select Specialty Hospital-Camp Hill,11,0
Select Specialty Hospital-Erie,15,0
Select Specialty Hospital - Laurel Highlands,0,0
James E. Van Zandt Veterans Affairs Medical Center,2,0
Select Specialty Hospital-Johnstown,8,0
Select Specialty Hospital-Pittsburgh/UPMC,106,0
Select Specialty Hospital-McKeesport,6,0
The Horsham Clinic,3,0
Edgewood Surgical Hospital,1,0
UPMC Altoona,11,0
Penn State Health Rehabilitation Hospital,10,0
Heritage Valley Beaver,3,0
Mount Nittany Medical Center,46,0
Encompass Health Rehabilitation Hospital of Nittany Valley,0,0
Berwick Hospital Center,6,0
Geisinger-Bloomsburg Hospital,3,0
Devereux Children's Behavioral Health Center,2,0
Lower Bucks Hospital,3,0
Penn Highlands Brookville,0,0
Bryn Mawr Hospital,19,0
Butler Memorial Hospital,7,0
Lehigh Valley Health Network at Coordinated Health,23,0
Pennsylvania Psychiatric Institute,27,0
Lancaster Rehabilitation Hospital,11,0
Surgical Institute of Reading,2,0
Good Shepherd Penn Partners,106,0
Rothman Orthopaedic Specialty Hospital,5,0
Roxbury Treatment Center,2,0
Penn State Health Holy Spirit Medical Center,7,0
State Correctional Institution at Camp Hill,1,0
Canonsburg Hospital,3,0
UPMC Carlisle,10,0
WellSpan Chambersburg Hospital,16,0
Penn Highlands Mon Valley,1,0
Crozer-Chester Medical Center,19,0
Clarks Summit State Hospital,2,0
St. Luke's Hospital-Miners Campus,8,0
Physicians Care Surgical Hospital,0,0
St. Luke's Anderson Campus,8,0
Coatesville Veterans Affairs Medical Center,3,0
Haven Behavioral Hospital of Eastern Pennsylvania,40,0
OSS Health,13,0
Penn Highlands Connellsville,5,0
WellSpan Surgery and Rehabilitation Hospital,0,0
Advanced Surgical Hospital,9,0
LECOM Health Corry Memorial Hospital,3,0
Jefferson Einstein Montgomery Hospital,10,0
UPMC East,26,0
UPMC Cole,0,0
Helen M. Simpson Rehabilitation Hospital,19,0
Danville State Hospital,0,0
Geisinger Medical Center,8,0
St. Luke's Monroe Campus,3,0
PAM Health Specialty Hospital of Wilkes-Barre,14,0
Mercy Fitzgerald Hospital,16,0
Haven Behavioral Hospital of Philadelphia,38,0
Lancaster Behavioral Health Hospital,20,0
Reading Hospital Rehabilitation at Wyomissing,4,0
St. Mary Rehabilitation Hospital,5,0
Geisinger St. Luke's Hospital,0,0
Saint John Vianney Hospital,6,0
AHN Hempfield Neighborhood Hospital,1,0
Doylestown Health,2,0
Penn State Health Lancaster Medical Center,0,0
Penn State Health Hampden Medical Center,5,0
AHN Wexford Hospital,11,0
St. Luke's Carbon Campus,3,0
Geisinger Medical Center Muncy,0,0
Penn Highlands DuBois,0,0
Eagleville Hospital,0,0
St. Luke's Easton Campus,7,0
Lehigh Valley Hospital - Pocono,23,0
Livengrin Foundation,0,0
Penn State Milton S. Hershey Medical Center,9,0
WellSpan Ephrata Community Hospital,3,0
UPMC Hamot,8,0
Encompass Health Rehabilitation Hospital of Erie,8,0
Saint Vincent Hospital PA,4,0
LECOM Health Millcreek Community Hospital,4,0
Erie Veterans Affairs Medical Center,0,0
UPMC Bedford,1,0
Valley Forge Medical Center,8,0
WellSpan Gettysburg Hospital,4,0
Excela Health Westmoreland Hospital,10,0
AHN Grove City,1,0
UPMC Hanover,6,0
Encompass Health Rehabilitation Hospital of Harmarville,4,0
Lehigh Valley Hospital - Hazleton,2,0
Jefferson Hospital PA,1,0
Wayne Memorial Hospital PA,0,0
Penn Highlands Huntingdon,2,0
Indiana Regional Medical Center,4,0
Geisinger Jersey Shore Hospital,1,0
UPMC Kane,0,0
ACMH Hospital,1,0
Penn Medicine Lancaster General Health,31,0
St. Mary Medical Center PA,5,0
Jefferson Lansdale Hospital,1,0
Excela Health Latrobe Hospital,0,0
WellSpan Philhaven,0,0
Lebanon Veterans Affairs Medical Center,9,0
Encompass Health Rehabilitation Hospital of Sewickley,0,0
Evangelical Community Hospital,6,0
