Hospital Name,Verizon
Hampstead Hospital,1
Dartmouth-Hitchcock Medical Center,2
Cheshire Medical Center,1
Concord Hospital - Laconia,11
Weeks Medical Center,0
Alice Peck Day Memorial Hospital,6
Catholic Medical Center,28
Littleton Regional Healthcare,2
Elliot Hospital,5
Manchester Veterans Affairs Medical Center,3
Southern New Hampshire Medical Center,6
St. Joseph Hospital NH,4
New London Hospital,0
Memorial Hospital NH,1
Monadnock Community Hospital,0
Speare Memorial Hospital,5
Northeast Rehabilitation Hospital,0
Frisbie Memorial Hospital,1
Huggins Hospital,1
Cottage Hospital,1
University of Vermont Medical Center,7
The University of Vermont Health Network Central Vermont Medical Center,1
Southwestern Vermont Medical Center,1
Brattleboro Memorial Hospital,3
Brattleboro Retreat,3
The University of Vermont Health Network Porter Medical Center,0
Copley Hospital,0
North Country Hospital and Health Center,1
Gifford Medical Center,0
Rutland Regional Medical Center,2
Northwestern Medical Center,3
Northeastern Vermont Regional Hospital,0
Springfield Hospital,0
Grace Cottage Hospital,0
White River Junction Veterans Affairs Medical Center,1
Mt. Ascutney Hospital and Health Center,2
Vermont Psychiatric Care Hospital,2
Salem Hospital MA,4
Encompass Health Rehabilitation Hospital of Western Massachusetts,0
MetroWest Medical Center,6
Good Samaritan Medical Center MA,6
UMass Memorial HealthAlliance-Clinton Hospital,0
Boston Medical Center,21
MelroseWakefield Healthcare,4
Cambridge Health Alliance,16
Beth Israel Deaconess Medical Center,53
Southcoast Hospitals Group,2
Beverly Hospital MA,1
Vibra Hospital of Southeastern Massachusetts,1
Spaulding Rehabilitation Hospital Cape Cod,2
Whittier Rehabilitation Hospital MA,5
PAM Health Specialty Hospital of Stoughton,0
Vibra Hospital of Western Massachusetts-Central Campus,0
Athol Hospital,0
Sturdy Memorial Hospital,2
Nashoba Valley Medical Center,1
"Bedford Veterans Affairs Medical Center, Edith Nourse Rogers Memorial Veterans Hospital",1
Brigham and Women's Hospital,42
Dr. Solomon Carter Fuller Mental Health Center,21
Pocasset Mental Health Center,1
Walden Behavioral Care,3
Carney Hospital,4
Boston Children's Hospital,45
Brigham and Women's Faulkner Hospital,13
Arbour Hospital,9
Hebrew Rehabilitation Center,7
Whittier Pavilion,4
Massachusetts Eye and Ear,87
Lowell General Hospital,4
Massachusetts General Hospital,88
Spaulding Rehabilitation Hospital,4
Westborough Behavioral Healthcare Hospital,1
Hospital for Behavioral Medicine,1
Southcoast Behavioral Health,0
New England Baptist Hospital,13
Tufts Medical Center,97
Veterans Affairs Boston Healthcare System,6
Shriners Hospitals for Children-Boston,124
Dana-Farber Cancer Institute,45
Bridgewater State Hospital,0
Encompass Health Rehabilitation Hospital of Braintree,1
Franciscan Children's,12
St. Elizabeth's Medical Center,9
Signature Healthcare Brockton Hospital,4
Veterans Affairs Boston Healthcare System Brockton Division,1
Bournewood Health Systems,6
Lahey Hospital & Medical Center,8
Arbour H. R. I. Hospital,9
Spaulding Hospital for Continuing Medical Care Cambridge,20
Mount Auburn Hospital,10
Pappas Rehabilitation Hospital for Children,1
Emerson Hospital,3
Dr. J. Corrigan Mental Health Center,2
Saint Anne's Hospital,6
Falmouth Hospital,3
Heywood Hospital,0
Baldpate Hospital,0
Fairview Hospital,1
Baystate Franklin Medical Center,1
UMass Memorial Medical Center,8
Holyoke Medical Center,1
Cape Cod Hospital,7
Lemuel Shattuck Hospital,6
Lawrence General Hospital,2
UMass Memorial-Marlborough Hospital,1
Holy Family Hospital,0
Milford Regional Medical Center,5
Beth Israel Deaconess Hospital-Milton,2
Nantucket Cottage Hospital,1
Beth Israel Deaconess Hospital-Needham,6
Pembroke Hospital,0
Anna Jaques Hospital,0
Newton-Wellesley Hospital,3
Cooley Dickinson Hospital,2
Veterans Affairs Central Western Massachusetts Healthcare System,4
Norwood Hospital,7
Martha's Vineyard Hospital,1
Baystate Wing Hospital,5
Berkshire Medical Center,2
Beth Israel Deaconess Hospital-Plymouth,1
New England Sinai Hospital and Rehabilitation Center,3
Arbour-Fuller Hospital,0
UMass Memorial Health - Harrington,1
South Shore Hospital MA,3
Mercy Medical Center MA,5
Shriners Hospitals for Children-Springfield,1
Baystate Medical Center,3
Austen Riggs Center,3
Morton Hospital and Medical Center,5
Taunton State Hospital,0
Tewksbury Hospital,1
McLean Hospital,1
Baystate Noble Hospital,3
Western Massachusetts Hospital,3
Winchester Hospital,5
Adcare Hospital of Worcester,7
Fairlawn Rehabilitation Hospital,5
Saint Vincent Hospital MA,19
Worcester Recovery Center and Hospital,4
Encompass Health Rehabilitation Hospital of New England,2
Whittier Rehabilitation Hospital,6
Valley Springs Behavioral Health Hospital,0
Rehabilitation Hospital of Rhode Island,1
Eleanor Slater Hospital,1
Emma Pendleton Bradley Hospital,1
Newport Hospital,3
St. Joseph Health Services of Rhode Island,4
Butler Hospital,2
Miriam Hospital,9
Women & Infants Hospital of Rhode Island,7
Rhode Island Hospital,16
Roger Williams Medical Center,13
Providence Veterans Affairs Medical Center,9
South County Hospital,1
Landmark Medical Center,7
Kent Hospital,3
Westerly Hospital,2
MidState Medical Center,3
Bridgeport Hospital,2
Hartford Hospital,13
Saint Francis Hospital CT,11
The Connecticut Hospice,0
Connecticut Valley Hospital,0
Veterans Affairs Connecticut Healthcare System,8
Stamford Health,5
St. Vincent's Medical Center,3
Mount Sinai Rehabilitation Hospital,4
The Hospital of Central Connecticut,0
Southwest Connecticut Mental Health System,2
Bristol Health,3
Danbury Hospital,2
Griffin Health,2
Greenwich Hospital,1
"UConn, John Dempsey Hospital",0
The Hospital at Hebrew Senior Care,1
Manchester Memorial Hospital,7
Albert J. Solnit Psychiatric Center - South Campus,0
Middlesex Health,2
Hospital for Special Care,0
Silver Hill Hospital,0
Yale New Haven Hospital,18
Connecticut Children's,13
Lawrence + Memorial Hospital,1
Norwalk Hospital,3
The William W. Backus Hospital,1
Day Kimball Hospital,1
Rockville General Hospital,7
Connecticut Veterans Home and Hospital,1
Sharon Hospital,0
Johnson Memorial Hospital CT,1
Charlotte Hungerford Hospital,1
Gaylord Specialty Healthcare,0
Masonicare Health Center,1
Saint Mary's Hospital,14
Waterbury Hospital,1
Connecticut Department of Correction's Hospital,0
Windham Hospital,5
Natchaug Hospital,0
Connecticut Mental Health Center,18
Bassett Medical Center,6
Adirondack Health,2
Olean General Hospital,2
Wynn Hospital,7
Mid-Hudson Forensic Psychiatric Center,1
New York-Presbyterian Hospital,82
Richmond University Medical Center,10
Veterans Affairs Hudson Valley Health Care System,1
Albany Medical Center,12
United Memorial Medical Center NY,3
St. Barnabas Hospital,19
Veterans Affairs New York Harbor Healthcare System,20
NYC Health + Hospitals / Henry J Carter Specialty Hospital and Medical Center,60
Montefiore St. Luke's Cornwall,4
St. John's Riverside Hospital,5
Garnet Health Medical Center,6
Four Winds Hospital,1
"Garnet Health Medical Center - Catskills, Callicoon Campus",1
St. Peter's Hospital,4
Capital District Psychiatric Center,11
Albany Stratton Veterans Affairs Medical Center,14
River Hospital,5
Brunswick Psych Center,8
South Oaks Hospital,8
St. Mary's Healthcare,4
Auburn Community Hospital,7
Veterans Affairs Western New York Healthcare System-Batavia Division,3
Ira Davenport Memorial Hospital,1
Bath Veterans Affairs Medical Center,1
Terence Cardinal Cooke Health Care Center,77
South Shore University Hospital,2
New York City Children's Center,15
St. Joseph Hospital NY,3
Greater Binghamton Health Center,2
"Our Lady of Lourdes Memorial Hospital, Inc.",8
Brookdale Hospital Medical Center,70
SUNY Downstate Health Sciences University,32
Burdett Birth Center,1
Kingsboro Psychiatric Center,12
Kirby Forensic Psychiatric Center,48
Brooklyn Hospital Center,70
NYC Health + Hospitals / South Brooklyn Health,14
Interfaith Medical Center,36
NYC Health + Hospitals / Kings County,30
New York Community Hospital,24
Maimonides Medical Center,21
NYC Health + Hospitals / Woodhull,39
Wyckoff Heights Medical Center,23
Sisters of Charity Hospital of Buffalo,4
KALEIDA Health,28
Buffalo Psychiatric Center,18
Erie County Medical Center,17
BryLin Hospitals,4
Mercy Hospital NY,3
Roswell Park Comprehensive Cancer Center,32
Veterans Affairs Western New York Healthcare System-Buffalo Division,8
F. F. Thompson Hospital,2
Canton-Potsdam Hospital,2
Putnam Hospital,4
Carthage Area Hospital,0
Arms Acres,0
Columbia Memorial Hospital NY,1
Clifton Springs Hospital and Clinic,1
Cobleskill Regional Hospital,0
Guthrie Corning Hospital,1
Guthrie Cortland Regional Medical Center,3
Cuba Memorial Hospital,0
Nicholas H. Noyes Memorial Hospital,3
O'Connor Hospital NY,1
"Brooks-TLC Hospital System, Inc.",4
The University of Vermont Health Network Elizabethtown Community Hospital,1
Ellenville Regional Hospital,0
Arnot Ogden Medical Center,5
Elmira Psychiatric Center,8
United Health Services Hospitals-Binghamton,12
St. John's Episcopal Hospital,2
New York-Presbyterian Queens,5
Flushing Hospital Medical Center,12
Geneva General Hospital,3
Glen Cove Hospital,3
Glens Falls Hospital,5
Long Island Jewish Medical Center,6
Nathan Littauer Hospital and Nursing Home,1
Gouverneur Hospital,2
Community Memorial Hospital NY,2
Nassau University Medical Center,5
Pilgrim Psychiatric Center,3
St. James Hospital,0
Huntington Hospital,4
Cayuga Medical Center at Ithaca,1
Jamaica Hospital Medical Center,25
NYC Health + Hospitals / Queens,20
UPMC Chautauqua,8
Four Winds Hospital NY,1
Kenmore Mercy Hospital,10
Health Alliance Hospital - Mary's Avenue Campus,0
Health Alliance Hospital - Broadway Campus,2
"Garnet Health Medical Center - Catskills, Harris Campus",2
Little Falls Hospital,2
Lewis County General Hospital,0
The University of Vermont Health Network - Alice Hyde Medical Center,2
North Shore University Hospital,5
Central New York Psychiatric Center,1
Margaretville Hospital,0
"Massena Hospital, Inc.",0
Orleans Community Health,0
Sagamore Children's Psychiatric Center,4
Schuyler Hospital,1
Northern Westchester Hospital,2
Montefiore Mount Vernon,13
Newark-Wayne Community Hospital,1
Montefiore New Rochelle,19
NYC Health + Hospitals / Bellevue,143
Mount Sinai Beth Israel,108
BronxCare Health System,27
Bronx Psychiatric Center,16
NYC Health + Hospitals / Jacobi,10
Manhattan Psychiatric Center-Ward's Island,48
Gracie Square Hospital,96
NYC Health + Hospitals / Harlem,37
Hospital for Special Surgery,68
Rockefeller University Hospital,87
NYU Langone Hospitals,129
Calvary Hospital,11
Lenox Hill Hospital,93
NYC Health + Hospitals / Lincoln,51
Cornerstone of Medical Arts Center Hospital,7
Memorial Sloan Kettering Cancer Center,98
NYC Health + Hospitals / Metropolitan,95
Montefiore Medical Center,19
The Mount Sinai Hospital,96
NYC Health + Hospitals / Elmhurst,36
New York Eye and Ear Infirmary of Mount Sinai,99
New York State Psychiatric Institute,65
Mount Sinai Morningside,84
James J. Peters Veterans Affairs Medical Center,33
Linda Occhipinti,3
Niagara Falls Memorial Medical Center,0
Northport Veterans Affairs Medical Center,1
UHS Chenango Memorial Hospital,2
Montefiore Nyack Hospital,11
Mount Sinai South Nassau,6
Claxton-Hepburn Medical Center,2
St. Lawrence Psychiatric Center,1
Oneida Healthcare,3
Aurelia Osborn Fox Memorial Hospital,3
Rockland Children's Psychiatric Center,2
Rockland Psychiatric Center,3
Phelps Memorial Hospital Center,1
Ossining Correctional Facilities Hospital,1
Oswego Hospital,7
Long Island Community Hospital,5
New York-Presbyterian/Hudson Valley Hospital,2
Soldiers and Sailors Memorial Hospital,4
Plainview Hospital,13
The University of Vermont Health Network-Champlain Valley Physicians Hospital,7
Mather Hospital,4
Bon Secours Community Hospital,2
St. Charles Hospital,4
Vassar Brothers Medical Center,4
Creedmoor Psychiatric Center,17
Northern Dutchess Hospital,6
Peconic Bay Medical Center,0
Highland Hospital NY,10
Unity Hospital,8
Rochester General Hospital,14
Rochester Psychiatric Center,2
Strong Memorial Hospital of the University of Rochester,10
Mercy Medical Center NY,19
Rome Health,4
St. Francis Hospital and Heart Center,7
Saratoga Hospital,9
Sunnyview Rehabilitation Hospital,2
Ellis Medicine,3
Conifer Park,1
St. Catherine of Siena Hospital,2
Bertrand Chaffee Hospital,4
Clifton-Fine Hospital,0
South Beach Psychiatric Center,11
Staten Island University Hospital,9
Good Samaritan Regional Medical Center NY,1
Stony Brook University Hospital,6
St. Joseph's Hospital Health Center,17
Upstate University Hospital,36
Crouse Health,34
Richard H. Hutchings Psychiatric Center,32
Syracuse Veterans Affairs Medical Center,81
Samaritan Hospital - Main Campus,1
Mohawk Valley Psychiatric Center,4
Blythedale Children's Hospital,3
Westchester Medical Center,1
UHS Delaware Valley Hospital,2
Wyoming County Community Hospital,4
St. Anthony Community Hospital,3
Samaritan Medical Center,3
Jones Memorial Hospital,6
Westfield Memorial Hospital,1
Helen Hayes Hospital,3
Good Samaritan Hospital Medical Center,0
Keller Army Community Hospital,0
Western New York Children's Psychiatric Center,0
Burke Rehabilitation Hospital,1
White Plains Hospital Center,20
Saint Joseph's Medical Center,20
Trinitas Regional Medical Center,13
Veterans Affairs New Jersey Health Care System,2
"Encompass Health Rehabilitation Hospital of Tinton Falls, a Joint Venture with Monmouth Medical Center",3
Kessler Marlton Rehabilitation,9
Kindred Hospital-New Jersey Morris County,2
Encompass Health Rehabilitation Hospital of Vineland,4
Select Specialty Hospital-Northeast New Jersey,8
Weisman Children's Rehabilitation Hospital,9
Specialty Hospital of Central Jersey,2
"AtlantiCare Regional Medical Center, Atlantic City Campus",75
CarePoint Health Bayonne Medical Center,12
Hackensack Meridian Health Carrier Clinic,1
Saint Clare's Denville Hospital,3
Inspira Medical Center-Vineland,9
Deborah Heart and Lung Center,1
Cooper University Health Care,9
Virtua Our Lady of Lourdes Hospital,6
Cape Regional Health System,10
Essex County Hospital Center,3
Johnson Rehabilitation Institute at Hackensack Meridian Health Ocean Medical Center,5
RWJBarnabas Health Behavioral Health Center,2
Select Specialty Hospital - Willingboro,2
Select Specialty Hospital - Atlantic City,75
CareWell Health Medical Center,12
Hackensack Meridian Health JFK Medical Center,8
Kessler Institute for Rehabilitation,2
Inspira Medical Center-Elmer,3
Englewood Health,1
Hunterdon Healthcare,2
CentraState Healthcare System,1
Hackensack Meridian Health Hackensack University Medical Center,17
Greystone Park Psychiatric Hospital,2
Hackettstown Medical Center,10
Ancora Psychiatric Hospital,0
CarePoint Health Hoboken University Medical Center,96
Hackensack Meridian Health Bayshore Community Hospital,5
CarePoint Health Christ Hospital,27
Hackensack Meridian Health Palisades Medical Center,6
Jersey City Medical Center,39
Silver Lake Hospital LTACH,5
Cornerstone Behavioral Health Hospital of Union County,8
Northbrook Behavioral Health Hospital,5
Hudson County Meadowview Psychiatric Hospital,7
CareOne at Hacksensack University Medical Center at Pascack Valley,5
Atlantic Rehabilitation Institute,7
"Monmouth Medical Center, Southern Campus",2
St. Lawrence Rehabilitation Center,3
Virtua Willingboro Hospital,2
"Monmouth Medical Center, Long Branch Campus",8
Hackensack Meridian Health Southern Ocean Medical Center,2
Virtua Marlton,9
Hackensack Meridian Mountainside Medical Center,4
Morristown Medical Center,21
Virtua Mount Holly Hospital,2
Hackensack Meridian Health Jersey Shore University Medical Center,6
Clara Maass Medical Center,3
University Hospital NJ,7
Cooperman Barnabas Medical Center,5
Newark Beth Israel Medical Center,13
Saint Michael's Medical Center,35
JFK Johnson Rehabilitation Institute at Hackensack Meridian Health,8
Robert Wood Johnson University Hospital,40
Saint Peter's Healthcare System,9
Newton Medical Center,6
St. Mary's General Hospital,10
St. Joseph's University Medical Center,11
Matheny Medical and Educational Center,0
Hackensack Meridian Health Raritan Bay Medical Center,10
St. Luke's Hospital - Warren Campus,6
Rutgers University Behavioral Healthcare,4
Hackensack Meridian Health Ocean University Medical Center,5
Chilton Medical Center,4
Penn Medicine Princeton Medical Center,14
Robert Wood Johnson University Hospital Rahway,7
Hackensack Meridian Health Riverview Medical Center,1
Bergen New Bridge Medical Center,7
Valley Hospital,6
Hampton Behavioral Health Center,5
Inspira Medical Center Mannington,0
Hudson Regional Hospital,4
Shore Medical Center,20
Robert Wood Johnson University Hospital Somerset,3
Jefferson Stratford Hospital,2
Summit Oaks Hospital,10
Overlook Medical Center,5
Encompass Health Rehabilitation Hospital of Toms River,4
Holy Name Medical Center,6
Community Medical Center NJ,4
Capital Health Medical Center-Hopewell,1
Trenton Psychiatric Hospital,4
Robert Wood Johnson University Hospital at Hamilton,5
Capital Health Regional Medical Center,12
Virtua Voorhees,6
Children's Specialized Hospital,35
Hackensack Meridian Health Pascack Valley Medical Center,5
Christian Health,3
CareOne at Trinitas Regional Medical Center,13
Jefferson Abington Health,1
Lehigh Valley Hospital-Cedar Crest,9
"Behavioral Wellness Center at Girard, The",21
Clarion Psychiatric Center,0
WellSpan Good Samaritan Hospital,2
Pennsylvania Hospital,121
UPMC Northwest,7
UPMC Horizon,1
Wilkes-Barre General Hospital,5
KidsPeace Children's Hospital,0
UPMC Presbyterian,73
UPMC Harrisburg,24
Allegheny General Hospital,15
Thomas Jefferson University Hospital,126
PAM Health Specialty Hospital of Pittsburgh,4
Kindred Hospital Philadelphia,11
Veterans Affairs Pittsburgh Healthcare System,64
St. Luke's University Hospital - Bethlehem Campus,10
Penn State Health St. Joseph,4
Conemaugh Memorial Medical Center,8
Jefferson Health Northeast,2
Geisinger Encompass Health Rehabilitation Hospital,1
Good Shepherd Specialty Hospital,5
PAM Health Specialty Hospital of Heritage Valley,1
Select Specialty Hospital-Camp Hill,5
Select Specialty Hospital-Erie,11
Select Specialty Hospital - Laurel Highlands,4
James E. Van Zandt Veterans Affairs Medical Center,8
Select Specialty Hospital-Johnstown,290
Select Specialty Hospital-Pittsburgh/UPMC,73
Select Specialty Hospital-McKeesport,2
The Horsham Clinic,0
Edgewood Surgical Hospital,0
UPMC Altoona,14
Penn State Health Rehabilitation Hospital,6
Heritage Valley Beaver,1
Mount Nittany Medical Center,15
Encompass Health Rehabilitation Hospital of Nittany Valley,2
Berwick Hospital Center,1
Geisinger-Bloomsburg Hospital,5
Devereux Children's Behavioral Health Center,1
Lower Bucks Hospital,8
Penn Highlands Brookville,0
Bryn Mawr Hospital,6
Butler Memorial Hospital,0
Lehigh Valley Health Network at Coordinated Health,6
Pennsylvania Psychiatric Institute,4
Lancaster Rehabilitation Hospital,7
Surgical Institute of Reading,3
Good Shepherd Penn Partners,77
Rothman Orthopaedic Specialty Hospital,3
Roxbury Treatment Center,3
Penn State Health Holy Spirit Medical Center,8
State Correctional Institution at Camp Hill,0
Canonsburg Hospital,1
UPMC Carlisle,5
WellSpan Chambersburg Hospital,9
Penn Highlands Mon Valley,0
Crozer-Chester Medical Center,7
Clarks Summit State Hospital,0
St. Luke's Hospital-Miners Campus,0
Physicians Care Surgical Hospital,2
St. Luke's Anderson Campus,5
Coatesville Veterans Affairs Medical Center,1
Haven Behavioral Hospital of Eastern Pennsylvania,28
OSS Health,0
Penn Highlands Connellsville,0
WellSpan Surgery and Rehabilitation Hospital,0
Advanced Surgical Hospital,6
LECOM Health Corry Memorial Hospital,4
Jefferson Einstein Montgomery Hospital,2
UPMC East,17
UPMC Cole,1
Helen M. Simpson Rehabilitation Hospital,4
Danville State Hospital,2
Geisinger Medical Center,6
St. Luke's Monroe Campus,5
PAM Health Specialty Hospital of Wilkes-Barre,5
Mercy Fitzgerald Hospital,6
Haven Behavioral Hospital of Philadelphia,5
Lancaster Behavioral Health Hospital,9
Reading Hospital Rehabilitation at Wyomissing,5
St. Mary Rehabilitation Hospital,4
Geisinger St. Luke's Hospital,0
Saint John Vianney Hospital,3
AHN Hempfield Neighborhood Hospital,2
Doylestown Health,21
Penn State Health Lancaster Medical Center,0
Penn State Health Hampden Medical Center,9
AHN Wexford Hospital,2
St. Luke's Carbon Campus,0
Geisinger Medical Center Muncy,0
Penn Highlands DuBois,2
Eagleville Hospital,2
St. Luke's Easton Campus,6
Lehigh Valley Hospital - Pocono,4
Livengrin Foundation,0
Penn State Milton S. Hershey Medical Center,15
WellSpan Ephrata Community Hospital,1
UPMC Hamot,8
Encompass Health Rehabilitation Hospital of Erie,9
Saint Vincent Hospital PA,10
LECOM Health Millcreek Community Hospital,3
Erie Veterans Affairs Medical Center,5
UPMC Bedford,0
Valley Forge Medical Center,4
WellSpan Gettysburg Hospital,6
Excela Health Westmoreland Hospital,5
AHN Grove City,1
UPMC Hanover,0
Encompass Health Rehabilitation Hospital of Harmarville,0
Lehigh Valley Hospital - Hazleton,0
Jefferson Hospital PA,2
Wayne Memorial Hospital PA,0
Penn Highlands Huntingdon,1
Indiana Regional Medical Center,3
Geisinger Jersey Shore Hospital,4
UPMC Kane,0
ACMH Hospital,2
Penn Medicine Lancaster General Health,4
St. Mary Medical Center PA,4
Jefferson Lansdale Hospital,2
Excela Health Latrobe Hospital,4
WellSpan Philhaven,0
Lebanon Veterans Affairs Medical Center,0
Encompass Health Rehabilitation Hospital of Sewickley,0
Evangelical Community Hospital,3
U. S. Penitentiary Infirmary,2
Geisinger Lewistown Hospital,0
Fulton County Medical Center,0
UPMC McKeesport,2
Meadville Medical Center,14
Heritage Valley Kennedy,8
Holy Redeemer Hospital,6
Encompass Health Rehabilitation Hospital of Mechanicsburg,4
Riddle Hospital,4
Guthrie Troy Community Hospital,0
Conemaugh Meyersdale Medical Center,3
Endless Mountains Health Systems,0
Excela Frick Hospital,1
UPMC Muncy,2
UPMC Jameson,3
The Meadows Psychiatric Center,0
Montgomery County Emergency Service,15
Norristown State Hospital,0
Suburban Community Hospital,1
Einstein Medical Center Philadelphia,14
Fox Chase Cancer Center,14
Temple Health—Chestnut Hill Hospital,8
Children's Hospital of Philadelphia,73
Fairmount Behavioral Health System,6
Friends Hospital,10
Hospital of the University of Pennsylvania,74
Kensington Hospital,10
Lankenau Medical Center,12
Magee Rehabilitation,180
Roxborough Memorial Hospital,15
Nazareth Hospital,7
Belmont Behavioral Health System,9
Penn Presbyterian Medical Center,59
St. Christopher's Hospital for Children,5
Shriners Children's Philadelphia,14
Temple University Hospital,11
Philadelphia Veterans Affairs Medical Center,42
Wills Eye Hospital,129
Brooke Glen Behavioral Hospital,0
Phoenixville Hospital,11
UPMC Children's Hospital of Pittsburgh,14
The Children's Home of Pittsburgh,9
UPMC Magee-Womens Hospital,56
The Children's Institute of Pittsburgh,7
UPMC Mercy,50
UPMC Passavant,3
Forbes Hospital,9
St. Clair Health,4
UPMC St. Margaret,5
West Penn Hospital,17
Geisinger Wyoming Valley Medical Center,4
Pottstown Hospital,6
Lehigh Valley Hospital - Schuylkill,3
Punxsutawney Area Hospital,0
St. Luke's Quakertown Campus,4
Encompass Health Rehabilitation Hospital of Reading,2
Bucktail Medical Center,1
Conemaugh Nason Medical Center,0
Huntington Creek Recovery Center,0
Penn Highlands Elk,0
Guthrie Robert Packer Hospital,1
Allied Services Scranton Rehabilitation Hospital,3
Geisinger Community Medical Center,10
Regional Hospital of Scranton,8
Grand View Health,0
Heritage Valley Sewickley,3
Sharon Regional Medical Center,5
UPMC Somerset,2
Conemaugh Miners Medical Center,0
Barnes-Kasson County Hospital,0
Allegheny Valley Hospital,3
Titusville Area Hospital,1
Torrance State Hospital,0
Penn Highlands Tyrone,0
WVU Medicine Uniontown Hospital,5
Warren General Hospital,2
Warren State Hospital,1
Washington Health System,14
Wellspan Waynesboro Hospital,3
Washington Health System Greene,0
UPMC Wellsboro,0
Wernersville State Hospital,0
Penn Medicine Chester County Hospital,4
Paoli Hospital,0
John Heinz Institute of Rehabilitation Medicine,2
Reading Hospital,11
Wilkes-Barre Veterans Affairs Medical Center,5
UPMC Williamsport,10
Chan Soon-Shiong Medical Center at Windber,0
Southwood Psychiatric Hospital,1
UPMC Memorial,3
WellSpan York Hospital,5
Encompass Health Rehabilitation Hospital of York,1
Encompass Health Rehabilitation Hospital of Altoona,9
Good Shepherd Rehabilitation Network,5
Clarion Hospital,0
Foundations Behavioral Health,10
UPMC Lititz,2
Malvern Institute,1
