,Hospital Name,Nearby Cell Towers
149,Copley Hospital,1
150,North Country Hospital and Health Center,2
151,Gifford Medical Center,0
152,Rutland Regional Medical Center,6
153,Northwestern Medical Center,5
154,Northeastern Vermont Regional Hospital,2
155,Springfield Hospital,2
156,Grace Cottage Hospital,3
157,White River Junction Veterans Affairs Medical Center,10
158,Mt. Ascutney Hospital and Health Center,5
159,Vermont Psychiatric Care Hospital,7
160,Salem Hospital,53
161,Encompass Health Rehabilitation Hospital of Western Massachusetts,7
162,MetroWest Medical Center,36
163,Good Samaritan Medical Center,87
164,UMass Memorial HealthAlliance-Clinton Hospital,32
165,Boston Medical Center,343
166,MelroseWakefield Healthcare,77
167,Cambridge Health Alliance,134
168,Beth Israel Deaconess Medical Center,374
169,Southcoast Hospitals Group,27
170,Beverly Hospital,42
171,Vibra Hospital of Southeastern Massachusetts,2
172,Spaulding Rehabilitation Hospital Cape Cod,25
173,Whittier Rehabilitation Hospital,24
174,PAM Health Specialty Hospital of Stoughton,7
175,Vibra Hospital of Western Massachusetts-Central Campus,3
176,Athol Hospital,2
177,Sturdy Memorial Hospital,14
178,Nashoba Valley Medical Center,2
179,"Bedford Veterans Affairs Medical Center, Edith Nourse Rogers Memorial Veterans Hospital",3
180,Brigham and Women's Hospital,345
181,Dr. Solomon Carter Fuller Mental Health Center,335
182,Pocasset Mental Health Center,5
183,Walden Behavioral Care,50
184,Carney Hospital,57
185,Boston Children's Hospital,365
186,Brigham and Women's Faulkner Hospital,71
187,Arbour Hospital,103
188,Hebrew Rehabilitation Center,75
189,Whittier Pavilion,23
190,Massachusetts Eye and Ear,538
191,Lowell General Hospital,48
192,Massachusetts General Hospital,587
193,Spaulding Rehabilitation Hospital,87
194,Westborough Behavioral Healthcare Hospital,20
195,Hospital for Behavioral Medicine,15
196,Southcoast Behavioral Health,7
197,New England Baptist Hospital,189
198,Tufts Medical Center,851
199,Veterans Affairs Boston Healthcare System,131
200,Shriners Hospitals for Children-Boston,708
201,Dana-Farber Cancer Institute,351
202,Bridgewater State Hospital,2
203,Encompass Health Rehabilitation Hospital of Braintree,15
204,Franciscan Children's,111
205,St. Elizabeth's Medical Center,117
206,Signature Healthcare Brockton Hospital,41
207,Veterans Affairs Boston Healthcare System Brockton Division,13
208,Bournewood Health Systems,72
209,Lahey Hospital & Medical Center,105
210,Arbour H. R. I. Hospital,224
211,Spaulding Hospital for Continuing Medical Care Cambridge,145
212,Mount Auburn Hospital,116
213,Pappas Rehabilitation Hospital for Children,6
214,Emerson Hospital,25
215,Dr. J. Corrigan Mental Health Center,30
216,Saint Anne's Hospital,36
217,Falmouth Hospital,5
218,Heywood Hospital,7
219,Baldpate Hospital,0
220,Fairview Hospital,6
221,Baystate Franklin Medical Center,8
222,UMass Memorial Medical Center,131
223,Holyoke Medical Center,13
224,Cape Cod Hospital,17
225,Lemuel Shattuck Hospital,52
226,Lawrence General Hospital,34
227,UMass Memorial-Marlborough Hospital,10
228,Holy Family Hospital,9
229,Milford Regional Medical Center,13
230,Beth Israel Deaconess Hospital-Milton,34
231,Nantucket Cottage Hospital,13
232,Beth Israel Deaconess Hospital-Needham,58
233,Pembroke Hospital,2
234,Anna Jaques Hospital,14
235,Newton-Wellesley Hospital,59
236,Cooley Dickinson Hospital,10
237,Veterans Affairs Central Western Massachusetts Healthcare System,9
238,Norwood Hospital,40
239,Martha's Vineyard Hospital,9
240,Baystate Wing Hospital,19
241,Berkshire Medical Center,32
242,Beth Israel Deaconess Hospital-Plymouth,5
243,New England Sinai Hospital and Rehabilitation Center,30
244,Arbour-Fuller Hospital,23
245,UMass Memorial Health - Harrington,14
246,South Shore Hospital,54
247,Mercy Medical Center,43
248,Shriners Hospitals for Children-Springfield,13
249,Baystate Medical Center,60
250,Austen Riggs Center,19
251,Morton Hospital and Medical Center,25
252,Taunton State Hospital,6
253,Tewksbury Hospital,11
254,McLean Hospital,28
255,Baystate Noble Hospital,17
256,Western Massachusetts Hospital,14
257,Winchester Hospital,28
258,Adcare Hospital of Worcester,122
259,Fairlawn Rehabilitation Hospital,24
260,Saint Vincent Hospital,27
261,Worcester Recovery Center and Hospital,44
262,Encompass Health Rehabilitation Hospital of New England,22
263,Whittier Rehabilitation Hospital,24
264,Valley Springs Behavioral Health Hospital,0
265,Rehabilitation Hospital of Rhode Island,12
266,Eleanor Slater Hospital,18
267,Emma Pendleton Bradley Hospital,23
268,Newport Hospital,27
269,St. Joseph Health Services of Rhode Island,19
270,Butler Hospital,15
271,Miriam Hospital,73
272,Women & Infants Hospital of Rhode Island,135
273,Rhode Island Hospital,190
274,Roger Williams Medical Center,67
275,Providence Veterans Affairs Medical Center,85
276,South County Hospital,14
277,Landmark Medical Center,32
278,Kent Hospital,33
279,Westerly Hospital,13
280,MidState Medical Center,71
281,Bridgeport Hospital,42
282,Hartford Hospital,104
283,Saint Francis Hospital,125
284,The Connecticut Hospice,0
285,Connecticut Valley Hospital,12
286,Veterans Affairs Connecticut Healthcare System,47
287,Stamford Health,29
288,St. Vincent's Medical Center,69
289,Mount Sinai Rehabilitation Hospital,89
290,The Hospital of Central Connecticut,9
291,Southwest Connecticut Mental Health System,44
292,Bristol Health,18
293,Danbury Hospital,26
294,Griffin Health,51
295,Greenwich Hospital,14
296,"UConn, John Dempsey Hospital",26
297,The Hospital at Hebrew Senior Care,13
298,Manchester Memorial Hospital,24
299,Albert J. Solnit Psychiatric Center - South Campus,4
300,Middlesex Health,15
301,Hospital for Special Care,14
302,Silver Hill Hospital,2
303,Yale New Haven Hospital,148
304,Connecticut Children's,106
305,Lawrence + Memorial Hospital,15
306,Norwalk Hospital,51
307,The William W. Backus Hospital,26
308,Day Kimball Hospital,5
309,Rockville General Hospital,0,0,21
310,Connecticut Veterans Home and Hospital,11
311,Sharon Hospital,1
312,Johnson Memorial Hospital,3
313,Charlotte Hungerford Hospital,10
314,Gaylord Specialty Healthcare,1
315,Masonicare Health Center,31
316,Saint Mary's Hospital,96
317,Waterbury Hospital,41
318,Connecticut Department of Correction's Hospital,0
319,Windham Hospital,39
320,Natchaug Hospital,8
321,Connecticut Mental Health Center,154
322,Bassett Medical Center,19
323,Adirondack Health,2
324,Olean General Hospital,12
325,Wynn Hospital,20
326,Mid-Hudson Forensic Psychiatric Center,1
327,New York-Presbyterian Hospital,937
328,Richmond University Medical Center,57
329,Veterans Affairs Hudson Valley Health Care System,15
330,Albany Medical Center,60
331,United Memorial Medical Center,14
332,St. Barnabas Hospital,411
333,Veterans Affairs New York Harbor Healthcare System,193
334,NYC Health + Hospitals / Henry J Carter Specialty Hospital and Medical Center,996
335,Montefiore St. Luke's Cornwall,22
336,St. John's Riverside Hospital,45
337,Garnet Health Medical Center,16
338,Four Winds Hospital,7
339,"Garnet Health Medical Center - Catskills, Callicoon Campus",1
340,St. Peter's Hospital,19
341,Capital District Psychiatric Center,59
342,Albany Stratton Veterans Affairs Medical Center,63
343,River Hospital,6
344,Brunswick Psych Center,67
345,South Oaks Hospital,59
346,St. Mary's Healthcare,15
347,Auburn Community Hospital,15
348,Veterans Affairs Western New York Healthcare System-Batavia Division,12
349,Ira Davenport Memorial Hospital,1
350,Bath Veterans Affairs Medical Center,2
351,Terence Cardinal Cooke Health Care Center,954
352,South Shore University Hospital,54
353,New York City Children's Center,92
354,St. Joseph Hospital,17
355,Greater Binghamton Health Center,7
356,"Our Lady of Lourdes Memorial Hospital, Inc.",18
357,Brookdale Hospital Medical Center,1000
358,SUNY Downstate Health Sciences University,587
359,Burdett Birth Center,17
360,Kingsboro Psychiatric Center,366
361,Kirby Forensic Psychiatric Center,665
362,Brooklyn Hospital Center,944
363,NYC Health + Hospitals / South Brooklyn Health,390
364,Interfaith Medical Center,526
365,NYC Health + Hospitals / Kings County,570
366,New York Community Hospital,281
367,Maimonides Medical Center,297
368,NYC Health + Hospitals / Woodhull,564
369,Wyckoff Heights Medical Center,350
370,Sisters of Charity Hospital of Buffalo,29
371,KALEIDA Health,61
372,Buffalo Psychiatric Center,42
373,Erie County Medical Center,57
374,BryLin Hospitals,17
375,Mercy Hospital,35
376,Roswell Park Comprehensive Cancer Center,76
377,Veterans Affairs Western New York Healthcare System-Buffalo Division,18
378,F. F. Thompson Hospital,3
379,Canton-Potsdam Hospital,4
380,Putnam Hospital,13
381,Carthage Area Hospital,1
382,Arms Acres,6
383,Columbia Memorial Hospital,6
384,Clifton Springs Hospital and Clinic,2
385,Cobleskill Regional Hospital,0
386,Guthrie Corning Hospital,2
387,Guthrie Cortland Regional Medical Center,9
388,Cuba Memorial Hospital,1
389,Nicholas H. Noyes Memorial Hospital,8
390,O'Connor Hospital,8
391,"Brooks-TLC Hospital System, Inc.",16
392,The University of Vermont Health Network Elizabethtown Community Hospital,1
393,Ellenville Regional Hospital,5
394,Arnot Ogden Medical Center,5
395,Elmira Psychiatric Center,21
396,United Health Services Hospitals-Binghamton,27
397,St. John's Episcopal Hospital,107
398,New York-Presbyterian Queens,199
399,Flushing Hospital Medical Center,189
400,Geneva General Hospital,6
401,Glen Cove Hospital,16
402,Glens Falls Hospital,19
403,Long Island Jewish Medical Center,101
404,Nathan Littauer Hospital and Nursing Home,2
405,Gouverneur Hospital,3
406,Community Memorial Hospital,4
407,Nassau University Medical Center,50
408,Pilgrim Psychiatric Center,43
409,St. James Hospital,1
410,Huntington Hospital,26
411,Cayuga Medical Center at Ithaca,4
412,Jamaica Hospital Medical Center,473
413,NYC Health + Hospitals / Queens,311
414,UPMC Chautauqua,27
415,Four Winds Hospital,1
416,Kenmore Mercy Hospital,33
417,Health Alliance Hospital - Mary's Avenue Campus,13
418,Health Alliance Hospital - Broadway Campus,27
419,"Garnet Health Medical Center - Catskills, Harris Campus",3
420,Little Falls Hospital,4
421,Lewis County General Hospital,2
422,The University of Vermont Health Network - Alice Hyde Medical Center,3
423,North Shore University Hospital,51
424,Central New York Psychiatric Center,3
425,Margaretville Hospital,3
426,"Massena Hospital, Inc.",0
427,Orleans Community Health,2
428,Sagamore Children's Psychiatric Center,24
429,Schuyler Hospital,3
430,Northern Westchester Hospital,19
431,Montefiore Mount Vernon,166
432,Newark-Wayne Community Hospital,9
433,Montefiore New Rochelle,257
434,NYC Health + Hospitals / Bellevue,1000
435,Mount Sinai Beth Israel,1000
436,BronxCare Health System,529
437,Bronx Psychiatric Center,273
438,NYC Health + Hospitals / Jacobi,200
439,Manhattan Psychiatric Center-Ward's Island,665
440,Gracie Square Hospital,1000
441,NYC Health + Hospitals / Harlem,848
442,Hospital for Special Surgery,821
443,Rockefeller University Hospital,1000
444,NYU Langone Hospitals,1000
445,Calvary Hospital,185
446,Lenox Hill Hospital,1000
447,NYC Health + Hospitals / Lincoln,787
448,Cornerstone of Medical Arts Center Hospital,235
449,Memorial Sloan Kettering Cancer Center,1000
450,NYC Health + Hospitals / Metropolitan,912
451,Montefiore Medical Center,415
452,The Mount Sinai Hospital,893
453,NYC Health + Hospitals / Elmhurst,798
454,New York Eye and Ear Infirmary of Mount Sinai,1000
455,New York State Psychiatric Institute,1000
456,Mount Sinai Morningside,956
457,James J. Peters Veterans Affairs Medical Center,510
458,Linda Occhipinti,24
459,Niagara Falls Memorial Medical Center,23
460,Northport Veterans Affairs Medical Center,10
461,UHS Chenango Memorial Hospital,6
462,Montefiore Nyack Hospital,37
463,Mount Sinai South Nassau,46
464,Claxton-Hepburn Medical Center,6
465,St. Lawrence Psychiatric Center,1
466,Oneida Healthcare,4
467,Aurelia Osborn Fox Memorial Hospital,6
468,Rockland Children's Psychiatric Center,7
469,Rockland Psychiatric Center,15
470,Phelps Memorial Hospital Center,17
471,Ossining Correctional Facilities Hospital,25
472,Oswego Hospital,27
473,Long Island Community Hospital,49
474,New York-Presbyterian/Hudson Valley Hospital,30
475,Soldiers and Sailors Memorial Hospital,6
476,Plainview Hospital,78
477,The University of Vermont Health Network-Champlain Valley Physicians Hospital,12
478,Mather Hospital,28
479,Bon Secours Community Hospital,7
480,St. Charles Hospital,7
481,Vassar Brothers Medical Center,20
482,Creedmoor Psychiatric Center,142
483,Northern Dutchess Hospital,14
484,Peconic Bay Medical Center,31
485,Highland Hospital,34
486,Unity Hospital,63
487,Rochester General Hospital,50
488,Rochester Psychiatric Center,17
489,Strong Memorial Hospital of the University of Rochester,53
490,Mercy Medical Center,116
491,Rome Health,18
492,St. Francis Hospital and Heart Center,14
493,Saratoga Hospital,29
494,Sunnyview Rehabilitation Hospital,12
495,Ellis Medicine,9
496,Conifer Park,9
497,St. Catherine of Siena Hospital,19
498,Bertrand Chaffee Hospital,5
499,Clifton-Fine Hospital,0
500,South Beach Psychiatric Center,67
501,Staten Island University Hospital,69
502,Good Samaritan Regional Medical Center,22
503,Stony Brook University Hospital,36
504,St. Joseph's Hospital Health Center,123
505,Upstate University Hospital,179
506,Crouse Health,155
507,Richard H. Hutchings Psychiatric Center,170
508,Syracuse Veterans Affairs Medical Center,191
509,Samaritan Hospital - Main Campus,16
510,Mohawk Valley Psychiatric Center,10
511,Blythedale Children's Hospital,41
512,Westchester Medical Center,47
513,UHS Delaware Valley Hospital,6
514,Wyoming County Community Hospital,6
515,St. Anthony Community Hospital,18
516,Samaritan Medical Center,7
517,Jones Memorial Hospital,10
518,Westfield Memorial Hospital,3
519,Helen Hayes Hospital,14
520,Good Samaritan Hospital Medical Center,33
521,Keller Army Community Hospital,7
522,Western New York Children's Psychiatric Center,3
523,Burke Rehabilitation Hospital,19
524,White Plains Hospital Center,144
525,Saint Joseph's Medical Center,203
526,Trinitas Regional Medical Center,140
527,Veterans Affairs New Jersey Health Care System,68
528,"Encompass Health Rehabilitation Hospital of Tinton Falls, a Joint Venture with Monmouth Medical Center",28
529,Kessler Marlton Rehabilitation,41
530,Kindred Hospital-New Jersey Morris County,3
531,Encompass Health Rehabilitation Hospital of Vineland,16
532,Select Specialty Hospital-Northeast New Jersey,114
533,Weisman Children's Rehabilitation Hospital,41
534,Specialty Hospital of Central Jersey,23
535,"AtlantiCare Regional Medical Center, Atlantic City Campus",406
536,CarePoint Health Bayonne Medical Center,108
537,Hackensack Meridian Health Carrier Clinic,4
538,Saint Clare's Denville Hospital,6
539,Inspira Medical Center-Vineland,22
540,Deborah Heart and Lung Center,13
541,Cooper University Health Care,117
542,Virtua Our Lady of Lourdes Hospital,40
543,Cape Regional Health System,26
544,Essex County Hospital Center,24
545,Johnson Rehabilitation Institute at Hackensack Meridian Health Ocean Medical Center,27
546,RWJBarnabas Health Behavioral Health Center,13
547,Select Specialty Hospital - Willingboro,26
548,Select Specialty Hospital - Atlantic City,406
549,CareWell Health Medical Center,238
550,Hackensack Meridian Health JFK Medical Center,32
551,Kessler Institute for Rehabilitation,25
552,Inspira Medical Center-Elmer,4
553,Englewood Health,34
554,Hunterdon Healthcare,14
555,CentraState Healthcare System,7
556,Hackensack Meridian Health Hackensack University Medical Center,145
557,Greystone Park Psychiatric Hospital,12
558,Hackettstown Medical Center,16
559,Ancora Psychiatric Hospital,1
560,CarePoint Health Hoboken University Medical Center,403
561,Hackensack Meridian Health Bayshore Community Hospital,30
562,CarePoint Health Christ Hospital,338
563,Hackensack Meridian Health Palisades Medical Center,108
564,Jersey City Medical Center,264
565,Silver Lake Hospital LTACH,102
566,Cornerstone Behavioral Health Hospital of Union County,67
567,Northbrook Behavioral Health Hospital,16
568,Hudson County Meadowview Psychiatric Hospital,59
569,CareOne at Hacksensack University Medical Center at Pascack Valley,32
570,Atlantic Rehabilitation Institute,26
571,"Monmouth Medical Center, Southern Campus",23
572,St. Lawrence Rehabilitation Center,38
573,Virtua Willingboro Hospital,24
574,"Monmouth Medical Center, Long Branch Campus",45
575,Hackensack Meridian Health Southern Ocean Medical Center,13
576,Virtua Marlton,43
577,Hackensack Meridian Mountainside Medical Center,64
578,Morristown Medical Center,141
579,Virtua Mount Holly Hospital,24
580,Hackensack Meridian Health Jersey Shore University Medical Center,26
581,Clara Maass Medical Center,73
582,University Hospital,164
583,Cooperman Barnabas Medical Center,27
584,Newark Beth Israel Medical Center,136
585,Saint Michael's Medical Center,276
586,JFK Johnson Rehabilitation Institute at Hackensack Meridian Health,32
587,Robert Wood Johnson University Hospital,202
588,Saint Peter's Healthcare System,62
589,Newton Medical Center,13
590,St. Mary's General Hospital,88
591,St. Joseph's University Medical Center,155
592,Matheny Medical and Educational Center,4
593,Hackensack Meridian Health Raritan Bay Medical Center,62
594,St. Luke's Hospital - Warren Campus,21
595,Rutgers University Behavioral Healthcare,27
596,Hackensack Meridian Health Ocean University Medical Center,27
597,Chilton Medical Center,13
598,Penn Medicine Princeton Medical Center,91
599,Robert Wood Johnson University Hospital Rahway,33
600,Hackensack Meridian Health Riverview Medical Center,13
601,Bergen New Bridge Medical Center,64
602,Valley Hospital,18
603,Hampton Behavioral Health Center,86
604,Inspira Medical Center Mannington,5
605,Hudson Regional Hospital,47
606,Shore Medical Center,33
607,Robert Wood Johnson University Hospital Somerset,36
608,Jefferson Stratford Hospital,38
609,Summit Oaks Hospital,37
610,Overlook Medical Center,34
611,Encompass Health Rehabilitation Hospital of Toms River,33
612,Holy Name Medical Center,96
613,Community Medical Center,25
614,Capital Health Medical Center-Hopewell,19
615,Trenton Psychiatric Hospital,0,0,2
616,Robert Wood Johnson University Hospital at Hamilton,0,0,0
617,Capital Health Regional Medical Center,0,0,3
618,Virtua Voorhees,0,0,1
619,Children's Specialized Hospital,0,0,13
620,Hackensack Meridian Health Pascack Valley Medical Center,0,0,0
621,Christian Health,0,0,1
622,CareOne at Trinitas Regional Medical Center,0,0,49
623,Jefferson Abington Health,0,0,12
624,Lehigh Valley Hospital-Cedar Crest,0,0,19
625,"Behavioral Wellness Center at Girard, The",0,1,72
626,Clarion Psychiatric Center,0,0,2
627,WellSpan Good Samaritan Hospital,0,0,0
628,Pennsylvania Hospital,0,1,316
629,UPMC Northwest,0,0,0
630,UPMC Horizon,0,0,0
631,Wilkes-Barre General Hospital,0,0,1
632,KidsPeace Children's Hospital,0,0,1
633,UPMC Presbyterian,0,0,40
634,UPMC Harrisburg,0,0,10
635,Allegheny General Hospital,0,0,28
636,Thomas Jefferson University Hospital,0,1,362
637,PAM Health Specialty Hospital of Pittsburgh,0,0,3
638,Kindred Hospital Philadelphia,0,2,20
639,Veterans Affairs Pittsburgh Healthcare System,0,0,36
640,St. Luke's University Hospital - Bethlehem Campus,0,0,5
641,Penn State Health St. Joseph,0,0,3
642,Conemaugh Memorial Medical Center,0,0,0
643,Jefferson Health Northeast,0,0,6
644,Geisinger Encompass Health Rehabilitation Hospital,0,0,0
645,Good Shepherd Specialty Hospital,0,1,10
646,PAM Health Specialty Hospital of Heritage Valley,0,0,6
647,Select Specialty Hospital-Camp Hill,0,0,0
648,Select Specialty Hospital-Erie,0,0,0
649,Select Specialty Hospital - Laurel Highlands,0,0,4
650,James E. Van Zandt Veterans Affairs Medical Center,0,0,4
651,Select Specialty Hospital-Johnstown,0,0,4
652,Select Specialty Hospital-Pittsburgh/UPMC,0,0,40
653,Select Specialty Hospital-McKeesport,0,0,3
654,The Horsham Clinic,0,0,1
655,Edgewood Surgical Hospital,0,0,0
656,UPMC Altoona,0,0,5
657,Penn State Health Rehabilitation Hospital,0,0,0
658,Heritage Valley Beaver,0,0,6
659,Mount Nittany Medical Center,0,0,0
660,Encompass Health Rehabilitation Hospital of Nittany Valley,0,0,0
661,Berwick Hospital Center,0,0,0
662,Geisinger-Bloomsburg Hospital,0,0,0
663,Devereux Children's Behavioral Health Center,0,0,0
664,Lower Bucks Hospital,0,0,23
665,Penn Highlands Brookville,0,0,0
666,Bryn Mawr Hospital,0,0,13
667,Butler Memorial Hospital,0,0,0
668,Lehigh Valley Health Network at Coordinated Health,0,0,17
669,Pennsylvania Psychiatric Institute,0,0,0
670,Lancaster Rehabilitation Hospital,0,0,15
671,Surgical Institute of Reading,0,0,4
672,Good Shepherd Penn Partners,0,2,186
673,Rothman Orthopaedic Specialty Hospital,0,0,10
674,Roxbury Treatment Center,0,0,8
675,Penn State Health Holy Spirit Medical Center,0,0,0
676,State Correctional Institution at Camp Hill,0,0,1
677,Canonsburg Hospital,0,0,13
678,UPMC Carlisle,0,0,17
679,WellSpan Chambersburg Hospital,0,4,20
680,Penn Highlands Mon Valley,0,0,0
681,Crozer-Chester Medical Center,0,0,17
682,Clarks Summit State Hospital,0,0,0
683,St. Luke's Hospital-Miners Campus,0,0,0
684,Physicians Care Surgical Hospital,0,0,1
685,St. Luke's Anderson Campus,0,0,6
686,Coatesville Veterans Affairs Medical Center,0,0,3
687,Haven Behavioral Hospital of Eastern Pennsylvania,0,0,52
688,OSS Health,0,0,12
689,Penn Highlands Connellsville,0,0,1
690,WellSpan Surgery and Rehabilitation Hospital,0,0,1
691,Advanced Surgical Hospital,0,0,13
692,LECOM Health Corry Memorial Hospital,0,0,0
693,Jefferson Einstein Montgomery Hospital,0,0,3
694,UPMC East,0,0,11
695,UPMC Cole,0,0,0
696,Helen M. Simpson Rehabilitation Hospital,0,0,10
697,Danville State Hospital,0,0,0
698,Geisinger Medical Center,0,0,0
699,St. Luke's Monroe Campus,0,0,0
700,PAM Health Specialty Hospital of Wilkes-Barre,0,0,1
701,Mercy Fitzgerald Hospital,0,0,16
702,Haven Behavioral Hospital of Philadelphia,0,0,19
703,Lancaster Behavioral Health Hospital,0,0,9
704,Reading Hospital Rehabilitation at Wyomissing,0,0,6
705,St. Mary Rehabilitation Hospital,0,0,6
706,Geisinger St. Luke's Hospital,0,0,0
707,Saint John Vianney Hospital,0,0,7
708,AHN Hempfield Neighborhood Hospital,0,0,6
709,Doylestown Health,0,0,0
710,Penn State Health Lancaster Medical Center,0,0,0
711,Penn State Health Hampden Medical Center,0,1,19
712,AHN Wexford Hospital,0,0,6
713,St. Luke's Carbon Campus,0,0,4
714,Geisinger Medical Center Muncy,0,0,0
715,Penn Highlands DuBois,0,0,0
716,Eagleville Hospital,0,0,0
717,St. Luke's Easton Campus,0,0,4
718,Lehigh Valley Hospital - Pocono,0,0,0
719,Livengrin Foundation,0,0,3
720,Penn State Milton S. Hershey Medical Center,0,0,0
721,WellSpan Ephrata Community Hospital,0,0,2
722,UPMC Hamot,0,0,0
723,Encompass Health Rehabilitation Hospital of Erie,0,0,0
724,Saint Vincent Hospital,0,0,0
725,LECOM Health Millcreek Community Hospital,0,0,0
726,Erie Veterans Affairs Medical Center,0,0,0
727,UPMC Bedford,0,0,0
