From Current Year File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL HOSPITALS WITH SELECTED DATA FIELDS (FY2022 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: AHA DataQuery™, FY2022/Current Year Data. Copyrighted and licensed by Health Forum LLC, an American Hospital Association company, Chicago, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List created by Alyssa Vincent on May 3, 2024, AHA Resource Center, (312) 422-2008, avincent@aha.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We used the most current information available, which includes 2022 data; some hospitals added since the 2022 survey was completed will not have complete data. Additionally, some hospitals may have closed and have been removed from the data.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,AHA ID,Medicare Provider ID,Hospital Name,Address,City,State,Zip,Area code,Local telephone number,Web address,Contract managed hospital,Management organization name,Management organization city,Management organization state,Community hospital designation for Stats,Census Bureau codes,County,Latitude,Longitude,Control / Ownership Type,Operates subsidiary corps.,Primary Service,System ID,System Name,System Address,System City,System State,System Zip,System phone,System Primary Contact,System Contact Title,Chief Admin. Name,Air ambulance services - hospital,Air ambulance services - health system,Air ambulance services - joint venture,Ambulance services,Ambulance services - health system,Ambulance services - joint venture,Trauma center certified level,Does your hospital/health system have a significant partnership with an insurer or an insurance company/health plan?,Total Capital Expenditures,Emergency medicine (TE),Hospitalist (TE),Intensivist (TE),Obstetrics/gynecology (TE),Other specialists (TE),Primary care (TE),Radiologists/pathologist/anesthesiologist (TE),Total Physicians (TE)
CY,6040012,400113,Hospital Menonita Ponce,506 Carr Road,Coto Laurel,Puerto Rico,00780,787,8482100,https://www.sistemamenonita.com/nuevo-hospital-menonita-ponce,No,,,,No,72113,"Ponce, PR",18.0536,-66.5629,Investor-owned; for-profit - Corporation,No,Other specialty,,,,,,,,,,"Alexander Reyes Mel�ndez, Executive Director",No,No,No,No,No,Yes,,No,1187900,4,0,0,9,57,34,7,111
CY,6040020,400087,Hospital Pavia Arecibo,129 San Luis Avenue,Arecibo,Puerto Rico,00612,787,6507272,http://www.cayetano@xsn.net,,,,,No,72013,"Arecibo, PR",18.4456,-66.7033,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Adri�n Gonz�lez Figueroa, Executive Director",,,,,,,,,,,,,,,,,
CY,6040030,400117,Hospital Metropolitano Dr. Susoni,Calle Palma #55,Arecibo,Puerto Rico,00612,787,6501030,http://www.metropavia.com/DrSusoni.cfm,,,,,No,72013,"Arecibo, PR",18.4456,-66.7033,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Humberto Perez-Pola, Executive Director",,,,,,,,,,,,,,,,,
CY,6040050,400061,University Hospital PR,Nineyas 869 Rio Piedras,San Juan,Puerto Rico,00922,787,7540101,,No,,,,No,72127,"San Juan, PR",18.4046,-66.1579,Govt. (non federal) - State,No,General medical and surgical,5990011,Puerto Rico Department of Health,Building 'A' - Medical Center,San Juan,PR,00936,(787)765-2929,"Carlos Mellado, MD",Secretary of Health,"Jorge Matta Gonzalez, Executive Director",No,Yes,No,No,Yes,No,,No,,0,0,0,27,229,22,43,321
CY,6040054,400032,Bayamon Medical Center,"Route 2, KM 11-7",Bayamon,Puerto Rico,00960,787,6208181,http://www.hospitalhermanosmelendez.net,,,,,No,72021,"Bayamon, PR",18.3935,-66.1605,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Jose Samuel Rosado, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040055,400109,Hospital San Pablo,Calle Santa Cruz 70,Bayamon,Puerto Rico,00961-7020,787,7404747,http://www.sanpablo.com,,,,,No,72021,"Bayamon, PR",18.3973,-66.1489,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Annabelle Irizarry Morales, Administrator",,,,,,,,,,,,,,,,,
CY,6040070,400010,Castaner General Hospital,"KM 64-2, Route 135",Castaner,Puerto Rico,00631,787,8295010,http://hospitalcastaner.com,,,,,No,72081,"Lares, PR",18.2094,-66.865,Nongovt. (not-for-profit) - Other,,General medical and surgical,,,,,,,,,,"Robin Russell, Executive Director",,,,,,,,,,,,,,,,,
CY,6040080,400013,Hospital Menonita De Cayey,4 H Mendoza Street,Cayey,Puerto Rico,00736-3801,787,2631001,http://www.hospitalmenonita.com,No,,,,No,72035,"Cayey, PR",18.1124,-66.1651,Nongovt. (not-for-profit) - Other,No,General medical and surgical,,,,,,,,,,"Mar�a del Mar Torres Hern�ndez, Administrator",No,No,No,No,No,Yes,,No,5576973,,,,,,,,
CY,6040090,400106,Hospital Metropolitano,1785 Carr 21,San Juan,Puerto Rico,00921-3399,787,7829999,,No,,,,No,72127,"San Juan, PR",18.4046,-66.1579,Investor-owned; for-profit - Corporation,No,General medical and surgical,,,,,,,,,,"Jos� M. Talavera Reyes, Executive Director",No,No,No,No,No,Yes,,No,,0,0,0,0,0,0,0,0
CY,6040110,400125,Hospital San Pablo Del Este HIMA Fajardo,"Avenida General Valero, 404",Fajardo,Puerto Rico,00738,787,8630505,http://www.sanpablo.com,,,,,No,72053,"Fajardo, PR",18.3356,-65.6535,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Orlando Rivera, Executive Director",,,,,,,,,,,,,,,,,
CY,6040115,400102,Doctor's Center of Bayamon,Extension Hermanas Davila,Bayamon,Puerto Rico,00960,787,6225420,https://www.tuhospitalfamiliar.com,,,,,No,72021,"Bayamon, PR",18.3935,-66.1605,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Maria Marte, Administrator",,,,,,,,,,,,,,,,,
CY,6040129,403026,Encompass Health Rehabilitation Hospital of Manati,"Carretera 2, Kilometro 47 7",Manati,Puerto Rico,00674,787,6213800,http://www.healthsouth.com,,,,,No,72091,"Manati, PR",18.4339,-66.4754,Investor-owned; for-profit - Corporation,,Rehabilitation,5990023,Encompass Health Corporation,9001 Liberty Parkway,Birmingham,AL,35242-7509,(205)967-7116,Mark J Tarr,President and Chief Executive Officer,"Ruthmaris Nieves Martinez, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040145,400048,Hospital Menonita Guayama,Avenue Pedro Albizu Campos,Guayama,Puerto Rico,00784,787,8644300,http://www.ssepr.com,No,,,,No,72057,"Guayama, PR",17.983,-66.1225,Nongovt. (not-for-profit) - Church Operated,Yes,General medical and surgical,,,,,,,,,,"Rogelio Diaz Garcia, Executive Director",No,No,Yes,No,No,No,,No,7696120,5,5,0,8,1,43,23,85
CY,6040155,400016,Auxilio Mutuo Hospital,Ponce De Leon Avenue,San Juan,Puerto Rico,00918-1000,787,7582000,http://www.auxiliomutuo.com,,,,,No,72127,"San Juan, PR",18.4193,-66.0645,Nongovt. (not-for-profit) - Other,,General medical and surgical,,,,,,,,,,"Jorge L Matta Serrano, Administrator",,,,,,,,,,,,,,,,,
CY,6040157,400004,Hospital Del Maestro,550 Sergio Cuevas,San Juan,Puerto Rico,00918-3741,787,7588383,http://www.hospitaldelmaestro.org,No,,,,No,72127,"San Juan, PR",18.4112,-66.068,Nongovt. (not-for-profit) - Other,No,General medical and surgical,,,,,,,,,,"Yarimir Rodriguez Diaz, Executive Director",No,No,No,No,No,No,,No,884166,0,0,0,0,0,0,0,0
CY,6040160,400011,Hospital Menonita Humacao,300 Font Martelo Street,Humacao,Puerto Rico,00791-3230,787,8520505,,No,,,,No,72069,"Humacao, PR",18.1511,-65.8188,Nongovt. (not-for-profit) - Church Operated,No,General medical and surgical,,,,,,,,,,"Pedro Diaz Vazquez, Administrator",No,No,No,No,No,Yes,,No,7971139,0,0,0,0,0,0,0,0
CY,6040165,400005,Hospital HIMA de Humacao,3 Font Martelo Street,Humacao,Puerto Rico,00791-3342,787,6562424,http://himasanpablo.com,No,,,,No,72069,"Humacao, PR",18.1508,-65.8286,Investor-owned; for-profit - Corporation,No,General medical and surgical,,,,,,,,,,"Maria E. Jacobo, Executive Director",No,No,No,No,No,No,,No,587516,0,0,0,0,0,0,0,0
CY,6040170,400007,Ryder Memorial Hospital,355 Font Martelo Street,Humacao,Puerto Rico,00791-3249,787,8520768,http://www.hryder@prtc.net,,,,,No,72069,"Humacao, PR",18.1534,-65.8339,Nongovt. (not-for-profit) - Other,,General medical and surgical,,,,,,,,,,"Carmen Colon, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040175,400110,Hospital Pavia Yauco,Carretera 128 KM 1.0,Yauco,Puerto Rico,00698,787,8561000,https://metropavia.com/hospital-pavia-yauco/,No,,,,No,72153,"Yauco, PR",18.0464,-66.8591,Investor-owned; for-profit - Corporation,No,General medical and surgical,,,,,,,,,,"Dinorah Hernandez Esq, Executive Director",No,No,No,No,No,No,,No,,,,,,,,,
CY,6040192,400018,Mennonite General Hospital,Calle Jose C Vasquez,Aibonito,Puerto Rico,00705,787,3163200,http://www.hospitalmenonita.com,No,,,,No,72009,"Aibonito, PR",18.1358,-66.2651,Nongovt. (not-for-profit) - Other,Yes,General medical and surgical,,,,,,,,,,"Maribel Toro, Chief Executive Officer",No,No,No,No,No,No,,No,3588370,0,0,0,0,3,1,0,4
CY,6040215,400123,Hospital Perea,15 Basora Street,Mayaguez,Puerto Rico,00681,787,8340101,http://www.paviahealth.com/perea_hospital.htm,,,,,No,72097,"Mayaguez, PR",18.2038,-67.1445,Investor-owned; for-profit - Corporation,,General medical and surgical,5999605,United Medical Corporation,603 Main Street,Windermere,FL,34786-3548,(407)876-2200,Donald R Dizney,Chairman and Chief Executive Officer,"Marco A. Reyes Concepci�n, Executive Director",,,,,,,,,,,,,,,,,
CY,6040220,400014,Bella Vista Hospital,State Road 349,Mayaguez,Puerto Rico,00680,787,8346000,http://www.bvhpr.org,,,,,No,72097,"Mayaguez, PR",18.2008,-67.1224,Nongovt. (not-for-profit) - Church Operated,,General medical and surgical,,,,,,,,,,"Mara Marrero Gonzalez, Executive Director",,,,,,,,,,,,,,,,,
CY,6040230,400003,Dr. Pila's Hospital,Avenida Las Americas,Ponce,Puerto Rico,00731,787,8485600,http://www.drpila.com,No,,,,No,72113,"Ponce, PR",18.0924,-66.6309,Nongovt. (not-for-profit) - Other,No,General medical and surgical,,,,,,,,,,"Rafael Alvarado, Chief Executive Officer",No,No,No,No,No,No,,Yes,1844689,0,0,0,0,0,0,0,0
CY,6040250,400022,Hospital De Damas,2213 Ponce Bypass,Ponce,Puerto Rico,00717,787,8408686,http://www.hospitaldamas.com/,,,,,No,72113,"Ponce, PR",17.997,-66.618,Nongovt. (not-for-profit) - Other,,General medical and surgical,,,,,,,,,,"Maria Mercedes Torres Bernal, Administrator",,,,,,,,,,,,,,,,,
CY,6040260,400044,St. Luke's Episcopal Hospital,917 Tito Castro Avenue,Ponce,Puerto Rico,00731-4717,787,8442080,http://www.sanlucaspr.com,No,,,,No,72113,"Ponce, PR",18.0266,-66.5987,Nongovt. (not-for-profit) - Church Operated,No,General medical and surgical,,,,,,,,,,"Elyonel Ponton-Cruz, Executive Director",No,No,No,No,No,Yes,,No,9725254,0,0,0,0,0,0,0,0
CY,6040290,400103,Mayagüez Medical Center,410 Hostos Avenue,Mayaguez,Puerto Rico,00680-1501,787,6529200,http://www.mayaguezmedical.com,,,,,No,72097,"Mayaguez, PR",18.1806,-67.1573,Govt. (non federal) - State,,General medical and surgical,,,,,,,,,,"Jaime Maestre, Executive Director",,,,,,,,,,,,,,,,,
CY,6040294,400105,Hospital Universitario Dr. Ramon Ruiz Arnau,"Avenue Laurel #100, Santa Juanita",Bayamon,Puerto Rico,00956,787,7875151,http://www.salud.gov.pr/Dept-de-Salud/Pages/Nuestros-Hospitales.aspx,,,,,No,72021,"Bayamon, PR",18.3539,-66.1642,Govt. (non federal) - State,,General medical and surgical,5990011,Puerto Rico Department of Health,Building 'A' - Medical Center,San Juan,PR,00936,(787)765-2929,"Carlos Mellado, MD",Secretary of Health,"V�ctor L. Medina Cruz, Executive Director",,,,,,,,,,,,,,,,,
CY,6040300,404006,Hospital de Psiquiatria,"Dr. Ramon Fernandez Marina, P O Box 2100",San Juan,Puerto Rico,00936,787,7664646,,,,,,No,72127,"San Juan, PR",18.4174,-66.0761,Govt. (non federal) - State,,Psychiatric,,,,,,,,,,"Carmen Bonet, Executive Director",,,,,,,,,,,,,,,,,
CY,6040325,400118,Doctors Center Manati,KM 47-7,Manati,Puerto Rico,00674,787,8543322,https://www.tuhospitalfamiliar.com,,,,,No,72091,"Manati, PR",18.4276,-66.4843,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Pedro Rivera Lugo, Executive Director",,,,,,,,,,,,,,,,,
CY,6040345,400021,Hospital De La Concepcion,"Carr 2, Km 173, Bo Cain Alto",San German,Puerto Rico,00683-3920,787,8921860,http://www.hospitalconcepcion.org,No,,,,No,72125,"San German, PR",18.0926,-67.0404,Nongovt. (not-for-profit) - Church Operated,No,General medical and surgical,,,,,,,,,,"Edgar Crespo, Administrator",No,No,No,No,No,No,,No,11288012,0,0,0,0,0,0,0,0
CY,6040369,404007,Hospital Psiquiatrico Metropolitano,108 Munoz Rivera Street,Cabo Rojo,Puerto Rico,00623-4060,787,8512025,http://www.metropavia.com/CaboRojo.cfm,,,,,No,72023,"Cabo Rojo, PR",18.0848,-67.1454,Nongovt. (not-for-profit) - Other,,Psychiatric,,,,,,,,,,"Giovanni Ortiz, Executive Director",,,,,,,,,,,,,,,,,
CY,6040370,400001,Ashford Presbyterian Community Hospital,1451 Avenue Ashford,San Juan,Puerto Rico,00907-1511,787,7212160,http://www.presbypr.com,,,,,No,72127,"San Juan, PR",18.4549,-66.0652,Nongovt. (not-for-profit) - Other,,General medical and surgical,,,,,,,,,,"Itza Soto, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040374,400122,Professional Hospital Guaynabo,Carretera 199 Km 1.2 Avenue,Guaynabo,Puerto Rico,00969,787,7086560,http://www.professionalhospital.com,,,,,No,72061,"Guaynabo, PR",18.3623,-66.0978,Nongovt. (not-for-profit) - Other,,Psychiatric,,,,,,,,,,"Edwin Sueiro, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040377,400015,San Juan City Hospital,Puerto Rico Medical Center,San Juan,Puerto Rico,00928,787,7662222,http://www.massalud.com,,,,,No,72127,"San Juan, PR",18.3995,-66.0492,Govt. (non federal) - City,,General medical and surgical,,,,,,,,,,"Maritza Vega De Jes�s, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040382,400130,Metropolitano De La Montana,Calle Issac Gonzalez Martinez,Utuado,Puerto Rico,00641,787,9331100,http://www.metropavia.com/DeLaMontana.cfm,,,,,No,72141,"Utuado, PR",18.2676,-66.7013,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Janice Cruz, Executive Director",,,,,,,,,,,,,,,,,
CY,6040391,400104,Hospital Menonita De Caguas,P.O. Box 6660,Caguas,Puerto Rico,00726-6660,787,6530550,http://www.sistemamenonita.com,,,,,No,72025,"Caguas, PR",18.2207,-66.0496,Nongovt. (not-for-profit) - Other,,General medical and surgical,,,,,,,,,,"Jose Guillermo Pastrana, Executive Director",,,,,,,,,,,,,,,,,
CY,6040395,400121,Hospital Episcopal San Lucas Metro,138 Avenue Winston Churchill,San Juan,Puerto Rico,00926-6013,787,7618383,https://hospitales.cybo.com/PR-biz/hospital-san-gerardo_2P,,,,,No,72127,"San Juan, PR",18.3615,-66.0587,Nongovt. (not-for-profit) - Other,,Chronic disease,,,,,,,,,,"Yelitza Lucena Quiles, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040396,018487,Hospital San Antonio,Calle Dr Ramon Emeterio Betances N #18,Mayaguez,Puerto Rico,00680,787,8340050,http://www.hsaipr.com/,,,,,No,72097,"Mataguez, PR",18.2031,-67.1409,Nongovt. (not-for-profit) - Other,,General medical and surgical,,,,,,,,,,"Francisco Martinez, Executive Director",,,,,,,,,,,,,,,,,
CY,6040397,,Hospital de Psiquiatria Forense,Road 14,Ponce,Puerto Rico,00731,787,8440210,https://hospitalespr.org/2019/10/04/hospital-psiquiatrico-forense-de-ponce/,,,,,No,72113,"Ponce, PR",18.0342,-66.5941,Govt. (non federal) - State,,Psychiatric,,,,,,,,,,"Luz M. Torres Rios, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040400,,Veterans Affairs Caribbean Healthcare System,10 Casia Street,San Juan,Puerto Rico,00921-3201,787,6417582,http://www.caribbean.va.gov/,,,,,No,72127,"San Juan, PR",18.3928,-66.088,Govt. (federal) - Veterans' Affairs,,General medical and surgical,5999295,Department of Veterans Affairs,810 Vermont Ave Northwest,Washington,DC,20420-0001,(202)273-5781,Robert Wilkie,Secretary,"Carlos R Escobar, Director",,,,,,,,,,,,,,,,,
CY,6040405,404005,San Juan Capestrano Hospital,"Rural Route 2, Box 11",San Juan,Puerto Rico,00926,787,6252900,http://www.sjcapestrano.com,,,,,No,72127,"San Juan, PR",18.3759,-66.07,Investor-owned; for-profit - Corporation,,Psychiatric,5990091,"Acadia Healthcare Company, Inc.","6100 Tower Circle, Suite 1000",Franklin,TN,37067-1509,(615)861-6000,Chris Hunter,President and Chief Executive Officer,"Marta Rivera Plaza, Chief Executive Officer and Managing Director",,,,,,,,,,,,,,,,,
CY,6040420,400006,Doctors' Center Hospital San Juan,1395 San Rafael Street,San Juan,Puerto Rico,00909-2518,787,9997620,http://www.tuhospitalfamiliar.com,No,,,,No,72127,"San Juan, PR",18.4456,-66.0736,Investor-owned; for-profit - Corporation,No,General medical and surgical,,,,,,,,,,"Belinda L Toro Palacios, President and Chief Executive Officer",No,No,No,No,No,Yes,,No,,0,0,0,0,0,0,0,0
CY,6040421,400135,"Hospital Centro Comprensivo de Cáncer, Universidad de Puerto Rico",Carr. PR-21 Int. PR-18 Bo. Monacillo Urbano,San Juan,Puerto Rico,00927,787,7728300,http://www.cccupr.org,,,,,No,72127,"San Juan, PR",18.3873,-66.0735,Govt. (non federal) - State,,Other specialty,5990011,Puerto Rico Department of Health,Building 'A' - Medical Center,San Juan,PR,00936,(787)765-2929,"Carlos Mellado, MD",Secretary of Health,"Marcia Cruz Correa, Administrator",,,,,,,,,,,,,,,,,
CY,6040425,400112,Hospital de la Universidad de Puerto Rico/Dr. Federico Trilla,"65th Infanteria, KM 8 3",Carolina,Puerto Rico,00984,787,7571800,http://www.hospitalupr.org,,,,,No,72031,"Carolina, PR",18.402,-65.9782,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Yelitza S�nchez Rodr�guez, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040427,403027,Multy Medical Rehabilitation Hospital San Juan,"#402 Mu�oz Rivera Avenue, El Vedado",San Juan,Puerto Rico,00918-3310,787,7058677,http://www.multymedical.com,,,,,No,72127,"San Juan, PR",18.4153,-66.0569,Investor-owned; for-profit - Corporation,,Rehabilitation,,,,,,,,,,"Tania Conde Sterling, President",,,,,,,,,,,,,,,,,
CY,6040432,400128,Hospital Pavia-Hato Rey,435 Ponce De Leon Avenue,San Juan,Puerto Rico,00917-3428,787,6412323,http://www.paviahealth.com,,,,,No,72127,"San Juan, PR",18.4199,-66.0562,Investor-owned; for-profit - Corporation,,General medical and surgical,5999605,United Medical Corporation,603 Main Street,Windermere,FL,34786-3548,(407)876-2200,Donald R Dizney,Chairman and Chief Executive Officer,"Olga Col�n, Executive Director",,,,,,,,,,,,,,,,,
CY,6040435,400019,Hospital Pavia-Santurce,1462 Asia Street,San Juan,Puerto Rico,00909-2143,787,7276060,http://www.paviahealth.com,,,,,No,72127,"San Juan, PR",18.4451,-66.0702,Investor-owned; for-profit - Corporation,,General medical and surgical,5999605,United Medical Corporation,603 Main Street,Windermere,FL,34786-3548,(407)876-2200,Donald R Dizney,Chairman and Chief Executive Officer,"Domingo Cruz-Vivaldi, Executive Director",,,,,,,,,,,,,,,,,
CY,6040444,400134,San Jorge Children's and Women Hospital,"258 San Jorge Street, Santurce",Santurce,Puerto Rico,00912-3310,787,7271000,http://www.sanjorgechildrenshospital.com,,,,,No,72127,"San Juan, PR",18.4469,-66.063,Investor-owned; for-profit - Corporation,,Children's general,5999605,United Medical Corporation,603 Main Street,Windermere,FL,34786-3548,(407)876-2200,Donald R Dizney,Chairman and Chief Executive Officer,"Jose Luis Rodriguez, Executive Director",,,,,,,,,,,,,,,,,
CY,6040445,400012,I. Gonzalez Martinez Oncologic Hospital,Puerto Rico Medical Center,Hato Rey,Puerto Rico,00935,787,7652382,,No,,,,No,72127,"San Juan, PR",18.453,-66.0557,Nongovt. (not-for-profit) - Other,No,Cancer,,,,,,,,,,"Yarisis Centeno, Executive Director",No,No,No,No,No,No,,No,8371,,,,,,,,
CY,6040448,,Industrial Hospital,Puerto Rico Medical Center,San Juan,Puerto Rico,00936,787,7542525,,,,,,No,72127,"San Juan, PR",18.4174,-66.0761,Govt. (non federal) - State,,General medical and surgical,,,,,,,,,,"Ernesto Santiago, Executive Director",,,,,,,,,,,,,,,,,
CY,6040475,404004,First Hospital Panamericano,State Road 787 KM 1 5,Cidra,Puerto Rico,00739,787,7395555,http://www.hospitalpanamericano.com,No,,,,No,72041,"Cidra, PR",18.1707,-66.1561,Investor-owned; for-profit - Corporation,No,Psychiatric,5999555,"Universal Health Services, Inc.",367 South Gulph Road,King of Prussia,PA,19406-3121,(610)768-3300,Marc D. Miller,Chief Executive Officer,"Astro Munoz, Executive Director",No,No,No,No,No,No,,No,318839,0,0,0,0,0,1,0,1
